Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Alg-Time
ICMP_chksum,0,1,DT,0.673921253894816,0.662692966915623,0.699912492689426,0.662692966915623,0.673048995494202,0.641905912911564,0.431844711303711,0.012966394424438,0
ICMP_chksum,1,2,DT,0.674582192427533,0.663418955692964,0.700975796866091,0.663418955692964,0.673870323616672,0.642630994658551,0.37998104095459,0.01196813583374,0
ICMP_chksum,2,3,DT,0.674534982532339,0.663292079162468,0.701331173479041,0.663292079162468,0.673926114233246,0.642575613372096,0.444005489349365,0.01002836227417,0
ICMP_chksum,3,4,DT,0.673685204418846,0.661232490710057,0.697297876114793,0.661232490710057,0.671148330509451,0.641643927150738,0.331116914749146,0.010042428970337,0
ICMP_chksum,4,5,DT,0.674157303370786,0.661791586196455,0.699124096672078,0.661791586196455,0.67219248584581,0.642161449333843,0.316495418548584,0.00708532333374,0
ICMP_chksum,5,6,DT,0.674015673685204,0.662820102085384,0.699978265413589,0.662820102085384,0.673108473107771,0.642008633130363,0.260698795318604,0.010970115661621,0
ICMP_chksum,6,7,DT,0.674346142951563,0.661928684880076,0.698709861236854,0.661928684880076,0.672214373330593,0.642367255352971,0.30129885673523,0.010046482086182,0
ICMP_chksum,7,8,DT,0.674440562741951,0.663298128215562,0.700718001026042,0.663298128215562,0.67369005487977,0.642471339993828,0.426533460617065,0.012077569961548,0
ICMP_chksum,8,9,DT,0.674062883580398,0.662416865617748,0.698606164774248,0.662416865617748,0.672320041187503,0.642062157835764,0.40202784538269,0.010047674179077,0
ICMP_chksum,9,10,DT,0.674110093475592,0.661274769792316,0.697749246572747,0.661274769792316,0.671399063338372,0.642112833419053,0.366978168487549,0.016959428787231,0
