Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Alg-Time
UDP_sport,0,1,DT,0.681144367859503,0.669456220919711,0.70642948737933,0.669456220919711,0.680288617091648,0.649871521704649,0.26320219039917,0.015620946884155,0
UDP_sport,1,2,DT,0.681191577754697,0.669653039058948,0.706949312685124,0.669653039058948,0.680548946489916,0.649927302952382,0.314051866531372,0.012963771820068,0
UDP_sport,2,3,DT,0.680719478802757,0.668077235132527,0.704790857681499,0.668077235132527,0.678889124464575,0.649405691259071,0.377867221832275,0.007753133773804,0
UDP_sport,3,4,DT,0.680766688697951,0.667813167998494,0.703339945824213,0.667813167998494,0.678243303900236,0.649461326646764,0.342083930969238,0.010971546173096,0
UDP_sport,4,5,DT,0.681285997545086,0.668515498496224,0.705621547447856,0.668515498496224,0.679383626523988,0.6500241899902,0.286952018737793,0.0,0
UDP_sport,5,6,DT,0.680955528278727,0.667893284377948,0.703882947752848,0.667893284377948,0.678396503782493,0.649666626910256,0.302816152572632,0.009974002838135,0
UDP_sport,6,7,DT,0.681002738173921,0.668398776167003,0.704918116613543,0.668398776167003,0.679154964581823,0.649720959611268,0.301372528076172,0.011969089508057,0
UDP_sport,7,8,DT,0.681049948069115,0.668383327144824,0.705209752106331,0.668383327144824,0.679196228876902,0.649766265072608,0.277053594589233,0.015621185302734,0
UDP_sport,8,9,DT,0.681097157964309,0.670412959078033,0.708081271131134,0.670412959078033,0.681458552239677,0.649821091331923,0.294215440750122,0.010970592498779,0
UDP_sport,9,10,DT,0.681049948069115,0.668699856568628,0.705356119885398,0.668699856568628,0.679483958946464,0.64976441360809,0.283319234848022,0.009975910186768,0
