Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Alg-Time
z all,0,1,DT,0.652299121895949,0.697167273710065,0.702033981751514,0.697167273710065,0.697922624925414,0.618947198845603,0.996034622192383,0.0101158618927,0
z all,1,2,DT,0.650599565668964,0.697314128845859,0.702202196841424,0.697314128845859,0.697909369468877,0.617026446048227,1.039812326431274,0.014006853103638,0
z all,2,3,DT,0.651590973468039,0.69766045643768,0.701277799062233,0.69766045643768,0.697316110107819,0.618107589322816,1.07550048828125,0.011967420578003,0
z all,3,4,DT,0.64809744122368,0.697294008416161,0.702312372052789,0.697294008416161,0.69804764243851,0.614375831102688,0.98891019821167,0.010108232498169,0
z all,4,5,DT,0.646586724577472,0.682068136049449,0.681710459799993,0.682068136049449,0.678916830961035,0.612704663537623,1.206772327423096,0.01396656036377,0
z all,5,6,DT,0.644792748560098,0.691643793224599,0.696401919998177,0.691643793224599,0.691789813836868,0.610772751228723,1.126202344894409,0.013965368270874,0
z all,6,7,DT,0.650410726088188,0.696763193687116,0.701760934042726,0.696763193687116,0.697439973036109,0.616906233477077,1.129965543746948,0.012921333312988,0
z all,7,8,DT,0.647955811538098,0.696598671515675,0.702835496880216,0.696598671515675,0.697808809734693,0.614163243342441,1.022179126739502,0.015629291534424,0
z all,8,9,DT,0.651496553677651,0.699571401584878,0.704006285975433,0.699571401584878,0.699971988265555,0.618026445296465,0.982877969741821,0.012216091156006,0
z all,9,10,DT,0.654565196865263,0.698542832447315,0.704259798645283,0.698542832447315,0.699661112651944,0.621372182566887,1.120550394058228,0.01562237739563,0
