Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Alg-Time
TCP_chksum,0,1,DT,0.63544518931168,0.651299150990318,0.664798384371142,0.651299150990318,0.656785149621742,0.60074737411381,0.489179849624634,0.015626668930054,0
TCP_chksum,1,2,DT,0.635492399206874,0.651326019813056,0.664702513510728,0.651326019813056,0.656691489827473,0.600795472998592,0.480187177658081,0.015629291534424,0
TCP_chksum,2,3,DT,0.634595411198187,0.649702869203424,0.662405395996036,0.649702869203424,0.6548397611246,0.599815999309418,0.47425103187561,0.015621662139893,0
TCP_chksum,3,4,DT,0.634500991407799,0.650747173729815,0.66421822257861,0.650747173729815,0.656202024834637,0.599716029878173,0.538602590560913,0.01562237739563,0
TCP_chksum,4,5,DT,0.634595411198187,0.649318778135901,0.662374143943327,0.649318778135901,0.654746888389043,0.599813298402697,0.469862699508667,0.015620470046997,0
TCP_chksum,5,6,DT,0.635870078368426,0.652438651180314,0.666227123425622,0.652438651180314,0.657974706502792,0.601216955290205,0.485680341720581,0.015578269958496,0
TCP_chksum,6,7,DT,0.635586818997262,0.650186752324735,0.662866741074853,0.650186752324735,0.655437957761268,0.600910345225934,0.495059490203857,0.006505966186523,0
TCP_chksum,7,8,DT,0.634500991407799,0.649798204399776,0.662696307066179,0.649798204399776,0.655112742699372,0.599717697693567,0.462698936462402,0.010095357894897,0
TCP_chksum,8,9,DT,0.635256349730904,0.650965768594995,0.664777367622388,0.650965768594995,0.656556889966776,0.600532443650001,0.504518508911133,0.006510019302368,0
TCP_chksum,9,10,DT,0.63520913983571,0.650575492971401,0.662540933053861,0.650575492971401,0.655402544681337,0.600501183536741,0.553101062774658,0.013962268829346,0
