Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Alg-Time
IP_id,0,1,DT,0.620385232744783,0.65779245427413,0.671265409389501,0.65779245427413,0.66069502838584,0.583796454351467,0.483749866485596,0.011968612670898,0
IP_id,1,2,DT,0.620998961382306,0.659293072285958,0.672836053524231,0.659293072285958,0.662143613968978,0.584497447724437,0.431090116500854,0.056170701980591,0
IP_id,2,3,DT,0.621707109810216,0.660008552942289,0.674014488132728,0.660008552942289,0.663019262702265,0.585234269189336,0.465644359588623,0.011967658996582,0
IP_id,3,4,DT,0.620904541591918,0.659820945390278,0.673439306108563,0.659820945390278,0.662637550086238,0.584373417161483,0.468759536743164,0.015623092651367,0
IP_id,4,5,DT,0.621376640543858,0.65839359516669,0.671799332121308,0.65839359516669,0.661216686637,0.58490355539386,0.454398632049561,0.0,0
IP_id,5,6,DT,0.621187800963082,0.659282734901996,0.673088587290716,0.659282734901996,0.66227859907503,0.584695692624321,0.406278371810913,0.01007866859436,0
IP_id,6,7,DT,0.620762911906336,0.659091301002816,0.672949910948954,0.659091301002816,0.662381018353059,0.584183838092055,0.434099912643433,0.010129451751709,0
IP_id,7,8,DT,0.619960343688037,0.658909443282119,0.67244968889291,0.658909443282119,0.661825760397498,0.583336589373383,0.414615869522095,0.010085582733154,0
IP_id,8,9,DT,0.620904541591918,0.657528525158864,0.671042412897925,0.657528525158864,0.66064111353831,0.584388500355025,0.43729829788208,0.008052349090576,0
IP_id,9,10,DT,0.620762911906336,0.657852286162592,0.671143604326096,0.657852286162592,0.660716764798214,0.584231386461571,0.438663959503174,0.010970830917358,0
