Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Alg-Time
TCP_sport,0,1,DT,0.710036823718251,0.718694257473921,0.747241533780311,0.718694257473921,0.727237906060055,0.681669806871776,0.398238658905029,0.010970592498779,0
TCP_sport,1,2,DT,0.709847984137475,0.718232976921966,0.745042677765441,0.718232976921966,0.726247885457599,0.681468036958804,0.374613761901856,0.014695405960083,0
TCP_sport,2,3,DT,0.710178453403834,0.718464653095514,0.746924095993775,0.718464653095514,0.727233300615843,0.681819758372713,0.354102849960327,0.015624284744263,0
TCP_sport,3,4,DT,0.707581909168162,0.714781643651756,0.743119018726765,0.714781643651756,0.723753293177552,0.67895480197026,0.298292636871338,0.015619039535522,0
TCP_sport,4,5,DT,0.707959588329714,0.714965472316636,0.745296208138342,0.714965472316636,0.724519253292072,0.679353540063809,0.282199144363403,0.010117769241333,0
TCP_sport,5,6,DT,0.710886601831744,0.717668029448552,0.745606933583042,0.717668029448552,0.726479557280084,0.682592597407534,0.294866323471069,0.010116577148438,0
TCP_sport,6,7,DT,0.706637711264281,0.715344278333021,0.742193418656951,0.715344278333021,0.72334455600263,0.677937748054402,0.292892217636108,0.010116577148438,0
TCP_sport,7,8,DT,0.710508922670192,0.717741309285603,0.745022915778612,0.717741309285603,0.726025166843985,0.682192855580834,0.306936502456665,0.009006500244141,0
TCP_sport,8,9,DT,0.711453120574072,0.717972500375574,0.743056222792401,0.717972500375574,0.726345502121845,0.683227075593598,0.30618143081665,0.009973526000977,0
TCP_sport,9,10,DT,0.706071192521953,0.715204447149608,0.742457810500039,0.715204447149608,0.723192920255593,0.677310671623851,0.300091505050659,0.008978843688965,0
