Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Alg-Time
UDP_dport,0,1,DT,0.674487772637145,0.664881618488854,0.703859289577797,0.664881618488854,0.675837139691698,0.642524766865944,0.277257442474365,0.010013818740845,0
UDP_dport,1,2,DT,0.675384760645831,0.66391511485613,0.700791540797863,0.66391511485613,0.674288814572493,0.643509982852271,0.272299766540527,0.0,0
UDP_dport,2,3,DT,0.675101501274667,0.664183639564645,0.701434183302118,0.664183639564645,0.674555585979867,0.643200216886024,0.283233642578125,0.009973764419556,0
UDP_dport,3,4,DT,0.674912661693891,0.665088418028957,0.703105554443822,0.665088418028957,0.675649920537782,0.642990063671798,0.266230344772339,0.0,0
UDP_dport,4,5,DT,0.675195921065055,0.66387187248078,0.702297456882582,0.66387187248078,0.6746389045963,0.643298909304123,0.263694286346436,0.015660524368286,0
UDP_dport,5,6,DT,0.674771032008309,0.663794610346312,0.699765334997547,0.663794610346312,0.673630750077602,0.642844318135679,0.257490396499634,0.012115478515625,0
UDP_dport,6,7,DT,0.674251723161174,0.662649458923048,0.699359948889525,0.662649458923048,0.67276840250033,0.642263795668562,0.259332656860352,0.0,0
UDP_dport,7,8,DT,0.675007081484279,0.663514929679056,0.70041808282522,0.663514929679056,0.673688758495851,0.643096109471941,0.332278251647949,0.0,0
UDP_dport,8,9,DT,0.674440562741951,0.663541962463051,0.700717457124331,0.663541962463051,0.673930663018526,0.642476825909303,0.364127159118652,0.011967658996582,0
UDP_dport,9,10,DT,0.674959871589085,0.66481337201525,0.702614175678536,0.66481337201525,0.67534131176111,0.643039663133462,0.283285140991211,0.009931564331055,0
