Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
sentinel_13,0,1,DT,0.787974279265852,0.743442983972586,0.797192726787183,0.743442983972586,0.739951197873488,0.769803370994827,0.253822803497314,0.031246900558472,1.1143078804016113
sentinel_13,1,2,DT,0.749804823347386,0.702779099309525,0.773931331620565,0.702779099309525,0.695737193827727,0.73008994942192,0.266616582870483,0.031635999679565,1.18900728225708
sentinel_13,2,3,DT,0.765830600860197,0.719806620336222,0.782108250026855,0.719806620336222,0.709683767022932,0.748085251281101,0.297927379608154,0.015758752822876,1.1757330894470215
sentinel_13,3,4,DT,0.784439807520334,0.73953148562194,0.779456793485158,0.73953148562194,0.737289035845741,0.767690316073535,0.297650575637817,0.03117847442627,1.1026160717010498
sentinel_13,4,5,DT,0.795909097361212,0.751921834982687,0.789785798639072,0.751921834982687,0.74234700812382,0.779158524953372,0.277734756469727,0.031675815582275,1.154688835144043
sentinel_13,5,6,DT,0.780039461170492,0.735051826582252,0.780811278176597,0.735051826582252,0.723986120580205,0.761409300110461,0.268413066864014,0.031174421310425,1.2134475708007812
sentinel_13,6,7,DT,0.779642010532442,0.73455819861905,0.782298029067678,0.73455819861905,0.727638919055408,0.760864624611498,0.266901731491089,0.031337261199951,1.1548068523406982
sentinel_13,7,8,DT,0.772473704381893,0.726976069006495,0.766191573552419,0.726976069006495,0.722614646926598,0.753458395964981,0.266104221343994,0.034835577011108,1.130035638809204
sentinel_13,8,9,DT,0.761898678476628,0.715679036178212,0.77354002192344,0.715679036178212,0.709124025127233,0.741062740968589,0.266728162765503,0.016120910644531,1.1673717498779297
sentinel_13,9,10,DT,0.790983548382518,0.746733644764071,0.783375223593784,0.746733644764071,0.744787642363543,0.773648399210681,0.298266887664795,0.031174421310425,1.1117310523986816
sentinel_13,10,11,DT,0.790742239066559,0.738539625463561,0.767368648853994,0.738539625463561,0.732209307228266,0.77514487937409,0.25190258026123,0.031245231628418,1.1843788623809814
sentinel_13,11,12,DT,0.766355803489049,0.720436611935788,0.781650971978155,0.720436611935788,0.714820474021524,0.746051163236371,0.266958951950073,0.031308889389038,1.2147233486175537
sentinel_13,12,13,DT,0.788925321864044,0.744536675067101,0.779155715588154,0.744536675067101,0.74181251263783,0.77151543547569,0.285455226898193,0.023109197616577,1.1442747116088867
sentinel_13,13,14,DT,0.78357393291601,0.73882455385498,0.781485917259221,0.73882455385498,0.729281202606855,0.765416612062589,0.275439023971558,0.027715444564819,1.212348222732544
sentinel_13,14,15,DT,0.765518318216014,0.719482441043293,0.781710746624253,0.719482441043293,0.716067162062382,0.744815465462747,0.277390241622925,0.015546321868896,1.164449691772461
sentinel_13,15,16,DT,0.798677057161918,0.755034627723766,0.784275710157406,0.755034627723766,0.754201389263291,0.782090788451341,0.261082649230957,0.03131103515625,1.1756560802459717
sentinel_13,16,17,DT,0.798095075870488,0.754185782777061,0.7778744021134,0.754185782777061,0.74637757227101,0.781996513245884,0.265673398971558,0.015773296356201,1.2115614414215088
sentinel_13,17,18,DT,0.791849422986842,0.747657887188313,0.77674789908726,0.747657887188313,0.740871949291598,0.774847468275828,0.29235577583313,0.031252145767212,1.1483023166656494
sentinel_13,18,19,DT,0.774162869593607,0.728769945269121,0.771436282710451,0.728769945269121,0.72747895011194,0.755174744311874,0.288697719573975,0.03137993812561,1.138432264328003
sentinel_13,19,20,DT,0.785078567474343,0.74043061446104,0.778486599830522,0.74043061446104,0.729743233769101,0.768507783642149,0.297975063323975,0.015771389007568,1.2012252807617188
sentinel_13,20,21,DT,0.758080313418218,0.711770679929392,0.770743324562974,0.711770679929392,0.706059749149045,0.736687586280836,0.251131534576416,0.031249761581421,1.1505258083343506
sentinel_13,21,22,DT,0.749066700733864,0.701783063904768,0.75099926512026,0.701783063904768,0.69189608241866,0.727480276932297,0.308729887008667,0.031256675720215,1.1855401992797852
sentinel_13,22,23,DT,0.769734133912476,0.724051826582252,0.768636734414726,0.724051826582252,0.715263816635594,0.75043685088097,0.275841236114502,0.031553268432617,1.1662914752960205
sentinel_13,23,24,DT,0.79477352410964,0.750709713770566,0.788106636107768,0.750709713770566,0.748785479655352,0.777793989691946,0.318515300750732,0.033906936645508,1.1912541389465332
sentinel_13,24,25,DT,0.766199662166958,0.720377115097503,0.759530890671924,0.720377115097503,0.706297366009218,0.746942073024354,0.279244899749756,0.031275033950806,1.196394443511963
sentinel_13,25,26,DT,0.77096906982356,0.724597613431475,0.770593854860442,0.724597613431475,0.71684444499068,0.75257458508602,0.282962083816528,0.031318187713623,1.187936544418335
sentinel_13,26,27,DT,0.785972831409956,0.741385159915586,0.796438620671241,0.741385159915586,0.737629373042854,0.767550453960389,0.285963296890259,0.040299415588379,1.1707825660705566
sentinel_13,27,28,DT,0.792800465585033,0.748603653164505,0.792521093413212,0.748603653164505,0.750493925591784,0.775692824177359,0.274350166320801,0.026756763458252,1.2031304836273193
sentinel_13,28,29,DT,0.783204871609249,0.738459244710059,0.768101273885049,0.738459244710059,0.732390028713136,0.765616903583778,0.301126480102539,0.031398296356201,1.1611664295196533
sentinel_13,29,30,DT,0.764198214311062,0.718142735673162,0.765876868345167,0.718142735673162,0.70652107351382,0.74434168341618,0.228143692016602,0.036342144012451,1.2109520435333252
sentinel_13,30,31,DT,0.776533378756263,0.731309402339828,0.764035186767201,0.731309402339828,0.722483273013061,0.758266706578647,0.286369323730469,0.030167818069458,1.2052953243255615
sentinel_13,31,32,DT,0.764382744964442,0.718507106697069,0.76352099712875,0.718507106697069,0.705370678790443,0.744483304388999,0.248013257980347,0.034456968307495,1.065779447555542
