Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
Aalto/False_2,0,1,DT,0.639174771032008,0.670069374017132,0.743765359060104,0.670069374017132,0.693070278593999,0.603805241853497,0.176560401916504,0.008944511413574,0.2344067096710205
Aalto/False_2,1,2,DT,0.640638277783023,0.677002547676666,0.753247406178436,0.677002547676666,0.70083169160493,0.605380973723806,0.22240424156189,0.007980108261108,0.2363579273223877
Aalto/False_2,2,3,DT,0.645123217826456,0.681424242738844,0.754115752287254,0.681424242738844,0.704048782014406,0.610294976363171,0.155622243881226,0.0,0.2446446418762207
Aalto/False_2,3,4,DT,0.640732697573411,0.686596428567496,0.747223801870404,0.686596428567496,0.705739233404068,0.605688592338415,0.200500011444092,0.008940935134888,0.22704648971557617
Aalto/False_2,4,5,DT,0.642668303276367,0.676217186062424,0.735625396709542,0.676217186062424,0.694646557131088,0.607750026694514,0.247336626052856,0.008975744247437,0.2142946720123291
Aalto/False_2,5,6,DT,0.644509489188934,0.682740142140352,0.744547045710685,0.682740142140352,0.70158658782926,0.609722773550086,0.166711568832397,0.0,0.1960296630859375
Aalto/False_2,6,7,DT,0.645217637616844,0.674590896125405,0.744983578970848,0.674590896125405,0.69547940619101,0.610477210089764,0.159603595733643,0.002041101455688,0.2318422794342041
Aalto/False_2,7,8,DT,0.642573883485979,0.681984624724957,0.746304161091644,0.681984624724957,0.701643760164191,0.607639422624159,0.153731107711792,0.010095357894897,0.22620725631713867
Aalto/False_2,8,9,DT,0.646020205835143,0.691144998220484,0.755184908153759,0.691144998220484,0.712107793471754,0.611373562687803,0.151579856872559,0.010119676589966,0.2318108081817627
Aalto/False_2,9,10,DT,0.643801340761024,0.679928164525386,0.755533946084075,0.679928164525386,0.703469909918537,0.608822065505056,0.151541948318481,0.008079051971436,0.19370698928833008
Aalto/False_2,10,11,DT,0.642101784534038,0.680473625761832,0.752728874181217,0.680473625761832,0.7018830636237,0.607019413332374,0.137959480285645,0.015628814697266,0.22731637954711914
Aalto/False_2,11,12,DT,0.640166178831083,0.674716018659455,0.748628214403038,0.674716018659455,0.697469069323438,0.604855672951459,0.15145993232727,0.008059501647949,0.1835629940032959
Aalto/False_2,12,13,DT,0.642573883485979,0.677540571746236,0.749163592142157,0.677540571746236,0.70009816651643,0.607569542793005,0.152880430221558,0.010105609893799,0.2314906120300293
Aalto/False_2,13,14,DT,0.644887168350486,0.684962911072035,0.747477456975708,0.684962911072035,0.704175937280775,0.610113072173692,0.141462087631226,0.010109424591064,0.20167851448059082
Aalto/False_2,14,15,DT,0.643942970446606,0.677598010935916,0.740793269500546,0.677598010935916,0.698031680235431,0.609121878372296,0.171483993530273,0.0,0.21109986305236816
