Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
Aalto/False_23,0,1,DT,0.759087904824851,0.82940864220624,0.859345625531562,0.82940864220624,0.813113282217372,0.734296073063373,0.159567832946777,0.002053022384644,0.11099004745483398
Aalto/False_23,1,2,DT,0.763384005287508,0.832219499337659,0.863805016894789,0.832219499337659,0.814959198414324,0.739044526823254,0.153307437896728,0.0,0.1314854621887207
Aalto/False_23,2,3,DT,0.761117930318195,0.835755110440889,0.863227163861646,0.835755110440889,0.820875571879801,0.73646982851311,0.151572227478027,0.008059024810791,0.11297845840454102
Aalto/False_23,3,4,DT,0.764186573505807,0.835216674248354,0.865575504564482,0.835216674248354,0.818387333040027,0.739895232522178,0.161105632781982,0.006947755813599,0.14162206649780273
Aalto/False_23,4,5,DT,0.766358228684732,0.83365161483544,0.863296663926201,0.83365161483544,0.816580070687078,0.742306648523806,0.174535036087036,0.006981134414673,0.12071895599365234
Aalto/False_23,5,6,DT,0.764186573505807,0.836058015084381,0.863587156197537,0.836058015084381,0.818793812805116,0.739932185784792,0.159579992294312,0.005944490432739,0.11469316482543945
Aalto/False_23,6,7,DT,0.769993390614673,0.84246991179853,0.868784021039556,0.84246991179853,0.82736336538414,0.746337311188679,0.155584096908569,0.00698184967041,0.10117650032043457
Aalto/False_23,7,8,DT,0.764186573505807,0.835779173180137,0.865816277916564,0.835779173180137,0.819187466579242,0.739943809387852,0.169364452362061,0.0,0.12157988548278809
Aalto/False_23,8,9,DT,0.76281748654518,0.837516215941096,0.863059050897268,0.837516215941096,0.822879920591522,0.738435931917245,0.154278755187988,0.019573211669922,0.11364984512329102
Aalto/False_23,9,10,DT,0.763903314134643,0.833057866381356,0.864205206027835,0.833057866381356,0.815805215064632,0.739592585850743,0.165017604827881,0.006946086883545,0.11797046661376953
Aalto/False_23,10,11,DT,0.765414030780852,0.833627682478568,0.866263623628694,0.833627682478568,0.816551606871279,0.741273152060166,0.155942678451538,0.00028657913208,0.1289050579071045
Aalto/False_23,11,12,DT,0.763478425077896,0.837734275523805,0.861994740728584,0.837734275523805,0.822422219454199,0.739176009700874,0.158962965011597,0.006977319717407,0.12267208099365234
Aalto/False_23,12,13,DT,0.765177981304882,0.833261670737103,0.861783081314051,0.833261670737103,0.817254418477106,0.74103760463901,0.158417701721191,0.006980895996094,0.12765765190124512
Aalto/False_23,13,14,DT,0.761920498536493,0.82912090603528,0.85955376222639,0.82912090603528,0.811005597796198,0.737431513772702,0.396939277648926,0.010970830917358,0.19846868515014648
Aalto/False_23,14,15,DT,0.760268152204702,0.830440987258218,0.860956697752615,0.830440987258218,0.813890434505715,0.735602912628915,0.38017463684082,0.010969877243042,0.2752649784088135
Aalto/False_23,15,16,DT,0.768246624492494,0.835858799623798,0.863654303660849,0.835858799623798,0.818559786818241,0.744415855178791,0.169588327407837,0.006983757019043,0.11668062210083008
Aalto/False_23,16,17,DT,0.765366820885658,0.831170191965857,0.862801049361201,0.831170191965857,0.813483616878917,0.741264558718577,0.17253851890564,0.005982160568237,0.14261960983276367
Aalto/False_23,17,18,DT,0.765461240676046,0.838866061305128,0.864538831081388,0.838866061305128,0.823485884869042,0.741300698636906,0.159091949462891,0.006980895996094,0.12824654579162598
Aalto/False_23,18,19,DT,0.76305353602115,0.832614340929514,0.8629941698129,0.832614340929514,0.815127263698883,0.73869766392338,0.510373830795288,0.013002634048462,0.32702207565307617
Aalto/False_23,19,20,DT,0.759748843357568,0.829623605418656,0.861223186331878,0.829623605418656,0.813470951824071,0.735023357539356,0.210439443588257,0.006979465484619,0.14860272407531738
Aalto/False_23,20,21,DT,0.757577188178642,0.825530545013724,0.859801169638508,0.825530545013724,0.808595433107874,0.732569927812797,0.20644736289978,0.007979869842529,0.16156768798828125
Aalto/False_23,21,22,DT,0.763903314134643,0.832559326972072,0.86270228275043,0.832559326972072,0.815711030278076,0.739635409434014,0.185464382171631,0.009973287582397,0.14660978317260742
Aalto/False_23,22,23,DT,0.76328958549712,0.833990842678234,0.862949599573212,0.833990842678234,0.818547861358851,0.738897834951901,0.23038387298584,0.017473220825195,0.18050861358642578
Aalto/False_23,23,24,DT,0.758379756396941,0.829181439404044,0.861339198312988,0.829181439404044,0.813296799169394,0.733517869679688,0.187465190887451,0.005986452102661,0.21243023872375488
