Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
IoTDevID_13,0,1,DT,0.836370503257483,0.866455759320991,0.899986495025347,0.866455759320991,0.864118701658063,0.820541662464478,0.167587518692017,0.006987810134888,0.27609777450561523
IoTDevID_13,1,2,DT,0.829289018978378,0.860813792067324,0.896356751093241,0.860813792067324,0.856407117903334,0.812744976697108,0.162574529647827,0.006973028182983,0.17849135398864746
IoTDevID_13,2,3,DT,0.832074402794826,0.866264072332757,0.898596851798592,0.866264072332757,0.863632603071653,0.81581093534221,0.153403282165527,0.006980657577515,0.15986037254333496
IoTDevID_13,3,4,DT,0.828155981493721,0.854619310251318,0.894272188522717,0.854619310251318,0.848404413383513,0.811538005487514,0.165392160415649,0.006980895996094,0.17081713676452637
IoTDevID_13,4,5,DT,0.831507884052497,0.857286096494128,0.895877440122024,0.857286096494128,0.850907722690973,0.815236239283537,0.165591478347778,0.006986856460571,0.14894413948059082
IoTDevID_13,5,6,DT,0.829100179397602,0.855600810030886,0.89560610547026,0.855600810030886,0.849582158080715,0.812562906989914,0.148602247238159,0.00598406791687,0.15249967575073242
IoTDevID_13,6,7,DT,0.83552072514399,0.869209884797206,0.900265904253408,0.869209884797206,0.865514057099561,0.819632648713881,0.157864332199097,0.006034851074219,0.14002394676208496
IoTDevID_13,7,8,DT,0.837456330846946,0.869604818860748,0.901901232229256,0.869604818860748,0.86598115227852,0.821749970875047,0.155582427978516,0.00698184967041,0.1579906940460205
IoTDevID_13,8,9,DT,0.83259371164196,0.862586036436316,0.897112409889122,0.862586036436316,0.859806678784291,0.816384103358485,0.163815259933472,0.00698184967041,0.16864538192749023
IoTDevID_13,9,10,DT,0.830280426777452,0.86266434582264,0.896493853117062,0.86266434582264,0.860145802024313,0.813857292889808,0.174572944641113,0.008977174758911,0.2104320526123047
IoTDevID_13,10,11,DT,0.837645170427722,0.870285257453294,0.902145383129098,0.870285257453294,0.866939336013392,0.821948372376451,0.156007289886475,0.005983591079712,0.17464566230773926
IoTDevID_13,11,12,DT,0.834387687659333,0.859615341413293,0.900061370410163,0.859615341413293,0.85507769354804,0.818327611109541,0.17558217048645,0.006977796554565,0.17770791053771973
IoTDevID_13,12,13,DT,0.834151638183363,0.864261050245833,0.897670139540943,0.864261050245833,0.860014463271001,0.818088579180859,0.168063879013062,0.006940126419067,0.17160677909851074
IoTDevID_13,13,14,DT,0.830658105939005,0.857644420763835,0.895743404000482,0.857644420763835,0.854298121750112,0.8142474229634,0.245344400405884,0.008975982666016,0.1815195083618164
IoTDevID_13,14,15,DT,0.837267491266169,0.86510913819383,0.899867801277322,0.86510913819383,0.861755631709596,0.821499183522976,0.155121803283691,0.006981372833252,0.13998985290527344
IoTDevID_13,15,16,DT,0.828392030969691,0.860221620595041,0.896928275829377,0.860221620595041,0.857837948977218,0.811770781427171,0.259334802627563,0.007035493850708,0.17644429206848145
IoTDevID_13,16,17,DT,0.833537909545841,0.862989371603834,0.897431962652155,0.862989371603834,0.860321097896568,0.817425355430264,0.171788930892944,0.007023811340332,0.18619561195373535
IoTDevID_13,17,18,DT,0.836606552733453,0.868028492155076,0.902419480997999,0.868028492155076,0.865322115109125,0.820771126468826,0.226427793502808,0.005995273590088,0.14362168312072754
IoTDevID_13,18,19,DT,0.828628080445661,0.859042817869198,0.896687839663931,0.859042817869198,0.85677276411419,0.812023651724812,0.165349721908569,0.00598406791687,0.14257478713989258
IoTDevID_13,19,20,DT,0.833821168917005,0.86505415550264,0.897543126213243,0.86505415550264,0.86317360882226,0.817757863541369,0.16655421257019,0.00702166557312,0.1848621368408203
IoTDevID_13,20,21,DT,0.835001416296856,0.86622966157759,0.900646478590625,0.86622966157759,0.864710427618376,0.819026489985798,0.169856309890747,0.005983591079712,0.179060697555542
IoTDevID_13,21,22,DT,0.834906996506468,0.867034688686786,0.900408670356236,0.867034688686786,0.86421493146743,0.818893434641061,0.16456151008606,0.005984306335449,0.19841527938842773
IoTDevID_13,22,23,DT,0.832310452270796,0.859579723492005,0.895524123766947,0.859579723492005,0.856285130209315,0.816093980944762,0.158621311187744,0.006981372833252,0.16504645347595215
IoTDevID_13,23,24,DT,0.832027192899632,0.862557001202888,0.897483982059373,0.862557001202888,0.856388649190454,0.815783259542035,0.155053377151489,0.005983591079712,0.17090845108032227
IoTDevID_13,24,25,DT,0.839958455292229,0.870563048127507,0.902989692524438,0.870563048127507,0.868902150592647,0.824475321324014,0.165555238723755,0.006981372833252,0.14015913009643555
IoTDevID_13,25,26,DT,0.832688131432348,0.861096545810414,0.896983901103024,0.861096545810414,0.854700063883105,0.816481729412202,0.158586740493774,0.006018400192261,0.18970346450805664
IoTDevID_13,26,27,DT,0.834151638183363,0.861038453789321,0.89988701864953,0.861038453789321,0.858712581026752,0.818073959568816,0.154099464416504,0.005983352661133,0.22512149810791016
IoTDevID_13,27,28,DT,0.830422056463035,0.863380659243906,0.896439624703061,0.863380659243906,0.861270155038032,0.814019548218167,0.17005729675293,0.00698184967041,0.17163395881652832
IoTDevID_13,28,29,DT,0.833160230384288,0.860823725574937,0.898153729889628,0.860823725574937,0.855679609367087,0.816994709616057,0.167553186416626,0.006980657577515,0.1685500144958496
IoTDevID_13,29,30,DT,0.829619488244736,0.860255824388793,0.897999952311089,0.860255824388793,0.858275449353049,0.8130970302616,0.165611267089844,0.006981611251831,0.18315815925598145
