Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
Withings,0,1,DT,0.996996996996997,0.991803278688525,0.998168498168498,0.991803278688525,0.994950337402381,0.989900827950141,0.015623092651367,0.0,0.015623092651367,0
Withings,0,2,DT,0.996996996996997,0.998154981549816,0.992063492063492,0.998154981549816,0.995075785582255,0.990151716795315,0.01563572883606,0.0,0.01563572883606,0
Withings,0,3,DT,0.993993993993994,0.989700606210565,0.989700606210565,0.989700606210565,0.989700606210565,0.979401212421131,0.023226499557495,0.0,0.023226499557495,0
Withings,0,4,DT,0.996996996996997,0.998239436619718,0.99,0.998239436619718,0.994067660734328,0.988135532832152,0.015604972839355,0.0,0.015604972839355,0
Withings,0,5,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
Withings,0,6,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
Withings,0,7,DT,0.996996996996997,0.998188405797102,0.991379310344828,0.998188405797102,0.99474473289671,0.989489631663668,0.015512228012085,0.0,0.015512228012085,0
Withings,0,8,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.012524366378784,0.001606464385986,0.014130830764771,0
Withings,0,9,DT,0.993993993993994,0.996376811594203,0.983050847457627,0.996376811594203,0.989561128526646,0.979123565920632,0.015632152557373,0.0,0.015632152557373,0
Withings,0,10,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.015626430511475,0.0,0.015626430511475,0
