Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkCam,0,1,DT,0.955,0.903101363007336,0.939484126984127,0.903101363007336,0.919956915080216,0.840009480919649,0.081518411636353,0.0,0.081518411636353,0
D-LinkCam,0,2,DT,0.968333333333333,0.947828492959767,0.937,0.947828492959767,0.942305064501926,0.884615384615385,0.081679821014404,0.0,0.081679821014404,0
D-LinkCam,0,3,DT,0.953333333333333,0.908181344450234,0.915314627473436,0.908181344450234,0.911697922798755,0.823399558498896,0.062508106231689,0.0,0.062508106231689,0
D-LinkCam,0,4,DT,0.961666666666667,0.948579314089223,0.906406919308889,0.948579314089223,0.925850702000419,0.851797757635637,0.075390815734863,0.0,0.075390815734863,0
D-LinkCam,0,5,DT,0.968333333333333,0.950908249936927,0.932407911449828,0.950908249936927,0.941343239808388,0.882701568094826,0.087164640426636,0.0,0.087164640426636,0
D-LinkCam,0,6,DT,0.971666666666667,0.946387859789114,0.961725529210192,0.946387859789114,0.953819197631196,0.907648848326814,0.09751033782959,0.000904083251953,0.098414421081543,0
D-LinkCam,0,7,DT,0.97,0.943292986237772,0.956133533013592,0.943292986237772,0.949550626880174,0.899108794350092,0.079230785369873,0.0,0.079230785369873,0
D-LinkCam,0,8,DT,0.973333333333333,0.964446019371604,0.943992773261066,0.964446019371604,0.953823953823954,0.907663896583564,0.092344284057617,0.000999450683594,0.093343734741211,0
D-LinkCam,0,9,DT,0.961666666666667,0.933265582655826,0.936427745445584,0.933265582655826,0.934836501003423,0.869673617407072,0.09446382522583,0.0,0.09446382522583,0
D-LinkCam,0,10,DT,0.948333333333333,0.915143964562569,0.881624992046828,0.915143964562569,0.897277863379558,0.794647588765236,0.083675384521484,0.0,0.083675384521484,0
