Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
HomeMaticPlug,0,1,DT,0.99344262295082,0.996031746031746,0.981818181818182,0.996031746031746,0.988748708868231,0.977499077831059,0.00801420211792,0.0,0.00801420211792,0
HomeMaticPlug,0,2,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
HomeMaticPlug,0,3,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.005983114242554,0.0,0.005983114242554,0
HomeMaticPlug,0,4,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
HomeMaticPlug,0,5,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
HomeMaticPlug,0,6,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.015621423721313,0.0,0.015621423721313,0
HomeMaticPlug,0,7,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
HomeMaticPlug,0,8,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
HomeMaticPlug,0,9,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.007980585098267,0.0,0.007980585098267,0
HomeMaticPlug,0,10,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.005983114242554,0.0,0.005983114242554,0
