Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkSiren,0,1,DT,0.913333333333333,0.835140018066847,0.861980648833238,0.835140018066847,0.847629466117091,0.695407685098407,0.046870231628418,0.0,0.046870231628418,0
D-LinkSiren,0,2,DT,0.955,0.919729246280185,0.916318877396722,0.919729246280185,0.918012460081684,0.836025750030366,0.053374290466309,0.0,0.053374290466309,0
D-LinkSiren,0,3,DT,0.936666666666667,0.913412440260944,0.887763971979342,0.913412440260944,0.899781981855264,0.799652027205146,0.05337119102478,0.0,0.05337119102478,0
D-LinkSiren,0,4,DT,0.918333333333333,0.852958152958153,0.861150484290102,0.852958152958153,0.856969803114556,0.71395213076474,0.058019638061523,0.000996589660645,0.059016227722168,0
D-LinkSiren,0,5,DT,0.911666666666667,0.833022716084113,0.87582094882835,0.833022716084113,0.85198218200606,0.704362054218884,0.06679630279541,0.000996589660645,0.067792892456055,0
D-LinkSiren,0,6,DT,0.946666666666667,0.91022619597172,0.871259262516766,0.91022619597172,0.889258028792912,0.778643731697756,0.07254433631897,0.000997304916382,0.073541641235352,0
D-LinkSiren,0,7,DT,0.946666666666667,0.9,0.892844916124615,0.9,0.896370819749995,0.792746113989637,0.046871662139893,0.0,0.046871662139893,0
D-LinkSiren,0,8,DT,0.931666666666667,0.872875816993464,0.8629827575237,0.872875816993464,0.867820816609443,0.73565441650548,0.042862176895142,0.0,0.042862176895142,0
D-LinkSiren,0,9,DT,0.936666666666667,0.867712822180665,0.894117647058824,0.867712822180665,0.880161466655454,0.760403530895334,0.050440073013306,0.0,0.050440073013306,0
D-LinkSiren,0,10,DT,0.938333333333333,0.88000753983214,0.895833333333333,0.88000753983214,0.887646704556382,0.77532183628856,0.046865224838257,0.0,0.046865224838257,0
