Variable_Name,Information_Value,Random_Forest,Recursive_Feature_Elimination,Extra_Trees,Chi_Square,L_One
UDP_dport,2.0114923739777284,0.043791330584517806,-7.815430395741032e-07,0.030231454016730778,54.403991778636524,-1.0884141132340046e-06
UDP_len,1.9805615968775059,0.10906314109382693,-3.335631875655899e-08,0.058227426985850025,207.8042602693388,-0.0011100682923562604
dport_class,1.7115335660382343,0.019922594553301542,-1.119784321693696e-09,0.021187481559389546,7.421139588207207,0.0
dport,1.6670608072625228,0.018819079736175647,-8.233151993139786e-07,0.018983525468613472,62.60959257912346,-4.187692104212836e-06
UDP_chksum,1.514168046823801,0.04088623126965966,-4.760071739365783e-06,0.036770411982828634,391.319262718374,1.145626575453733e-06
IP_proto,0.8625833237301014,0.013543843851529888,-3.5412693310465305e-09,0.030370211544536754,134.35842858373198,0.15040780810475826
TCP_options,0.8374859272111914,0.023327957641973405,0.0,0.05389037299490198,465.1999999999999,0.0
pck_size,0.6767681014573732,0.06048113775943365,-3.9346947803511204e-08,0.06160838250036426,0.40985942172243195,0.00010441728415893344
entropy,0.6577385754312725,0.09606207437702928,-7.252483959972543e-10,0.11121774336208962,100.65198732654362,0.07734515464024075
TCP_ACK,0.6305211683988903,0.006687656857576876,0.0,0.03118749674537679,420.6,0.0
IP_len,0.43475864372619044,0.05756804052584957,-3.620716006355434e-08,0.05642702953089631,0.6422703610399968,-1.5761038161834146e-05
sport,0.4319034128492161,0.03325755863536909,-7.458559567102817e-06,0.025213440054320774,57.22486315835351,-1.1075587006797332e-06
sport_class,0.3680177728978097,0.024612632992187335,-2.9929850158385898e-09,0.033336433814255544,16.081847649919013,-0.19600419494830928
TCP_seq,0.2043302495063963,0.010038189873961403,-1.2952895259784814e-05,0.010414391011229566,230.85467610784465,-4.029115454069396e-08
TCP_ack,0.2043302495063963,0.016198247837214776,-7.730306070002141e-06,0.01508614751889126,213.51726396477926,-1.9789299852662945e-11
TCP_chksum,0.2043302495063963,0.02464915683403532,-7.810048505396725e-08,0.011621228155120577,234.57859148910183,0.0
IP_id,0.2043302495063963,0.05143887505499889,-3.760641724745383e-06,0.01582907344915168,230.62698519310035,-0.03466198634124349
TCP_sport,0.20397684856426815,0.015326888417275739,-9.411871256801866e-09,0.01300284074427035,177.33862564884035,0.0
TCP_window,0.2011640308761845,0.008264275444608301,-1.415757557445422e-09,0.004093232198160008,62.981570153353125,0.0
UDP_sport,0.17830569897617088,0.03732557982145141,-7.449147695846027e-06,0.022460379010912187,45.48760012303275,1.0637613088509783e-05
TCP_dport,0.16407898514210276,0.018161230789326507,-4.177215973986841e-08,0.008350140361287417,137.3288848083417,-4.464252179302484e-06
payload_bytes,0.14313177907745084,0.05880722045858507,-3.180416258168498e-08,0.0568956183809712,6.647165984884698e-05,-0.0016215354479526543
IP_ihl,0.12446120583882564,0.002101620019947896,-1.1545010061911183e-09,0.004123552800892201,0.31688089117394797,0.0
DNS_ancount,0.11408635007641575,0.012464039051626298,-3.8655866943960894e-10,0.013921481288695938,27.58367890995261,0.07383940534498831
BOOTP_op,0.09763837350740263,0.00045071306895463973,0.0,0.0013640680008984484,21.708988764044946,0.0
BOOTP_flags,0.0908181800768559,0.003350166212354722,-2.6331460759946655e-10,0.005370599164815093,23.446511627906983,0.0
DNS_qr,0.08878479105535533,0.0035556168888606463,-8.501083662689963e-11,0.005284222420385498,57.66493506493509,0.0
EAPOL_version,0.08678009534427553,0.0026365656731299363,0.0,0.003144124128818698,30.411392405063296,0.0
DNS_aa,0.08653116608269038,0.0036367956430547856,-8.741680437097248e-11,0.006625156586028967,55.964630225080406,0.0
IP_options,0.08484251690003804,0.0023016982162732363,0.0,0.002459389372974866,65.63636363636364,0.0
EAPOL_len,0.08210147314493722,0.0010761440482291848,2.2295329199500448e-10,0.0032802394785786354,60.63387056167887,0.008453099119103136
Ether_type,0.08123322716739358,0.0024445872416927086,-1.5210739919979195e-06,0.0008223355970371694,7.2329582910384405,-1.949377755158251e-05
EAPOL_type,0.08119451444028851,0.001609491162240497,0.0,0.002523222100690518,65.69473684210527,0.0
BOOTP_file,0.07393246111316937,0.0005552902064296548,0.0,0.0018386284261651205,59.22337662337664,0.0
BOOTP_sname,0.07393246111316937,0.0003065361485578866,0.0,0.0011080635534390217,59.22337662337664,0.0
BOOTP_htype,0.07393246111316937,0.00018887791305380994,0.0,0.0018579505843349803,59.22337662337664,0.0
BOOTP_hlen,0.07393246111316937,0.00038981522472552184,4.542465773508486e-11,0.0012495326374479085,59.22337662337664,0.023241492175635
BOOTP_xid,0.07393246111316937,0.0063675923021190165,-7.878881256804632e-11,0.00319501377899136,14.371844363553592,-1.0367461716179491e-10
BOOTP_options,0.07393246111316937,0.00022263252830786757,0.0,0.0026750140197168946,59.22337662337664,0.0
IP_tos,0.07383721782631253,0.0009893403708390147,-2.6703924102863477e-09,0.0027514043283847554,54.88228438228441,-0.001088592911925909
TCP_flags,0.06888147452271058,0.012866166374772722,-2.727888414393693e-10,0.016237268582055365,196.05,0.0
TCP_PSH,0.045056107725483296,0.0,0.0,0.0037593043178073965,133.8,0.0
IP_flags,0.03471394651036564,0.0048964600902363055,-6.200728442041662e-10,0.011773742426815096,0.7492196878751501,0.0
IP_version,0.034695213736658057,0.0011779295254249764,-9.171848897063674e-10,0.002384588010742834,0.7950361944157144,0.0
DNS_qdcount,0.03394701588795686,0.007473541180878605,-3.328254950766262e-10,0.015404744998204411,0.05277320153761549,0.0
IP_ttl,0.028240113585880616,0.09017552328365291,-7.515761044074073e-08,0.078184500465704,12.57807537351207,-0.004610592601379032
DHCP_options,0.027286812134732715,0.0008569736516113029,0.0,0.0009251289303291106,12.891591836734694,0.0
DNS_nscount,0.020503508894845264,0.0063606928734051054,-4.0179661178250623e-10,0.01184432223810691,0.3292207792207787,0.0
IP_DF,0.012549575691731743,0.0033571753633998107,-1.2619286968985757e-10,0.011465134690968833,0.7037200330669522,0.0
TCP_SYN,0.00873937818088926,0.0006103811606503273,0.0,0.0014904629011234214,60.79999999999999,0.0
TCP_dataofs,0.007277688582131953,0.012613435960016028,0.0,0.01958336200015735,303.74545454545444,0.0
TCP_FIN,0.004684262389054649,0.0,0.0,0.00027648328954796146,44.79999999999999,0.0
DNS_rd,0.0016527582570076368,0.0009506149092644526,-1.0746652900137971e-10,0.010737503020157278,26.799999999999997,0.0
