Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
EdimaxPlug2101W,0,1,DT,0.978213507625272,0.953796943490108,0.977648232433444,0.953796943490108,0.965153355602794,0.930325753665867,0.031245231628418,0.0,0.031245231628418,0
EdimaxPlug2101W,0,2,DT,0.986928104575164,0.970012066150898,0.980760853782489,0.970012066150898,0.975290697674419,0.950583168849812,0.015629053115845,0.0,0.015629053115845,0
EdimaxPlug2101W,0,3,DT,0.9760348583878,0.96421875,0.949878861296184,0.96421875,0.956862745098039,0.913732123635245,0.031250238418579,0.0,0.031250238418579,0
EdimaxPlug2101W,0,4,DT,0.986928104575164,0.986961990888692,0.967813051146384,0.986961990888692,0.977065289806795,0.954136690647482,0.031242847442627,0.0,0.031242847442627,0
EdimaxPlug2101W,0,5,DT,0.991266375545852,0.988147605083089,0.975293464467005,0.988147605083089,0.981595338557364,0.96319215623242,0.035788774490356,0.0,0.035788774490356,0
EdimaxPlug2101W,0,6,DT,0.980349344978166,0.970023755938985,0.965873532236577,0.970023755938985,0.96793191171551,0.935864322389918,0.038896083831787,0.0,0.038896083831787,0
EdimaxPlug2101W,0,7,DT,0.978165938864629,0.966767977021476,0.957657923175164,0.966767977021476,0.962136243386244,0.924274990906385,0.042880535125732,0.000997543334961,0.043878078460693,0
EdimaxPlug2101W,0,8,DT,0.971615720524018,0.967820046090645,0.937828207051763,0.967820046090645,0.951950934108058,0.903939853505857,0.044506549835205,0.0,0.044506549835205,0
EdimaxPlug2101W,0,9,DT,0.98471615720524,0.991071428571429,0.952054794520548,0.991071428571429,0.970315639380388,0.940658201606634,0.028921127319336,0.0,0.028921127319336,0
EdimaxPlug2101W,0,10,DT,0.973799126637555,0.94680591818973,0.956662515566625,0.94680591818973,0.95164695945946,0.903297322025548,0.031246900558472,0.0,0.031246900558472,0
