Variable_Name,Information_Value,Random_Forest,Recursive_Feature_Elimination,Extra_Trees,Chi_Square,L_One
IP_ttl,2.9365518625242495,0.07767243128496551,-6.081641725668775e-08,0.12878948348925567,325.3979657635713,0.01142011021534713
IP_flags,2.4154788551386406,0.19550228171049686,-6.363380368437763e-09,0.16984719578630342,127.50345618056772,0.0
IP_DF,2.2952489215486658,0.12848097090726665,-2.847458113926669e-09,0.17413644965885736,501.19999999999993,0.0
IP_len,0.7629430041910465,0.025485791870233514,-6.11336531614245e-07,0.019114509015170845,37.54127620201409,-0.0041063470978111955
pck_size,0.7437088430935171,0.030464404027179055,-6.12618929798775e-07,0.015314638317029394,33.70854337041368,-0.0008020021464647967
TCP_dataofs,0.43913443398044427,0.011124428263449677,1.392653493558859e-09,0.012936991809834954,77.16239694760512,0.0
sport_class,0.3587701911175508,0.009606297111195717,-1.3296469971128648e-08,0.019779793660330596,1.190130815486851,-0.006683600615161704
IP_proto,0.3570755044597156,0.008654574959037212,-2.6316671310175247e-08,0.006919770508724013,13.864943474591966,0.0
dport,0.30960793232458406,0.032615611381632104,2.549920062969387e-05,0.03180243333437616,0.6438302665209152,-3.129395073142802e-06
TCP_options,0.2900256192175834,0.0017551029165922124,0.0,0.00907392948751858,49.20407004259343,0.0
IP_id,0.28286299712298635,0.08171356256272501,-1.9166551980037425e-05,0.03287448363298316,188.28952097451867,-0.00955096996033776
TCP_ACK,0.27692916766554365,0.002002715759724666,0.0,0.003983175956295406,52.78534031413611,0.0
entropy,0.23969123487004887,0.04671335514434254,-9.49226787555735e-09,0.039545981941577914,0.3195457680120576,-0.30312375236105193
UDP_chksum,0.2184083970281846,0.016151014513464432,-5.328007634536421e-05,0.011149422732194771,13.466918369052195,-5.796969039780841e-06
UDP_dport,0.21298147715695087,0.030521300529551217,2.372172021956742e-05,0.04710702143116325,279.87576557146315,2.3610384064358915e-05
UDP_sport,0.21298147715695087,0.035725581844281505,3.7295835979573682e-06,0.017074133197676644,160.30105526332545,3.129912953566586e-06
UDP_len,0.21298147715695087,0.023500802278112246,-5.777267208281071e-07,0.01565038344396969,4.775038751357895,-0.007042408023494845
TCP_seq,0.2043302495063963,0.0338176414240013,-4.202503055915441e-05,0.018901302083415773,190.69351833978502,-1.4332998964576052e-07
EAPOL_len,0.20011567718704035,0.006510652765395651,9.076524546984257e-09,0.008454365410943151,94.5924134660977,0.02287756041454811
payload_bytes,0.1987511022901993,0.02570202116783175,-5.574851508669413e-07,0.02265112284944128,37.23032933040706,-0.0035941794250365154
TCP_window,0.1970835697419159,0.0214194131818976,3.6729327708616033e-07,0.01912512371932861,40.76135417903595,-0.0001439655303572474
EAPOL_version,0.17186495771063365,0.0042304035494579815,0.0,0.0051087692952605955,56.011111111111106,0.0
EAPOL_type,0.16852536690001,0.004999493697328891,0.0,0.0061862376760702,114.49000000000004,0.0
Ether_type,0.16681294103777508,0.003868514659036435,-4.6184781580976134e-06,0.005756436195260329,21.358321481154782,-2.288645936972629e-05
TCP_chksum,0.13842896458497145,0.0029520785873974192,8.213173972119934e-06,0.0022131886243333472,33.512139856805256,2.37614430559863e-05
dport_class,0.11577747942592005,0.01800945041603529,-7.388705979613521e-09,0.031152662402182747,3.6740934906072518,-0.07374089688183193
TCP_ack,0.11502674913304911,0.001926231052577024,1.3441368593308573e-08,0.00201497482147396,22.43106770528536,6.352506793174532e-10
BOOTP_flags,0.09954830775338838,0.001418759796546247,-1.9469340658759642e-09,0.001644952530650419,17.175324675324678,0.0
IP_version,0.09687472300469192,0.0016584392487297695,-6.924639596219571e-09,0.003183198861454708,2.1162085308056873,0.0
IP_ihl,0.09425341101302986,0.0021960079085229377,-8.979409988743328e-09,0.0026284668463723263,1.9987746023752462,0.0
sport,0.0931407833585768,0.028983813157920264,6.539731749070085e-06,0.01937334842679286,0.14700685387968768,6.440226184716844e-08
DHCP_options,0.0820772071764326,0.0008618515215728288,0.0,0.002076450486042801,16.24643356643357,0.0
BOOTP_op,0.0819222386177021,0.0008778590337003464,0.0,0.0011393877292348003,21.262857142857147,0.0
BOOTP_file,0.07369276545048913,0.001062159988108614,0.0,0.0018737638106895932,48.10909090909091,0.0
BOOTP_sname,0.07369276545048913,0.0016416154538400453,0.0,0.001279781135696367,48.10909090909091,0.0
BOOTP_hlen,0.07369276545048913,0.0005695213357717592,-5.637394563402663e-10,0.002316179605064385,48.10909090909091,0.0
BOOTP_xid,0.07369276545048913,0.009923290680178755,8.505323533193518e-10,0.008314925777153719,65.66674649790416,1.2704096984008192e-09
BOOTP_htype,0.07369276545048913,0.0011271538887891498,0.0,0.001803301644183491,48.10909090909091,0.0
BOOTP_options,0.07369276545048913,0.0004502345004673399,0.0,0.0008506425243106278,48.10909090909091,0.0
TCP_sport,0.05254639874410304,0.027402217658176044,2.810148150923445e-06,0.01599909928275327,66.61065198136934,0.00011231441128488656
TCP_dport,0.04343120254119114,0.016304315125544668,1.7774804101026718e-06,0.016245951122534276,58.93406671090016,5.263043121464658e-05
TCP_FIN,0.04113966400913878,2.1426632968974412e-05,0.0,0.00012019279056112618,13.013084112149528,0.0
DNS_rd,0.04110675200839253,0.0023375438272289152,0.0,0.005755751025057033,22.33846153846154,0.0
TCP_PSH,0.014920943347995869,0.0005009930871126213,0.0,0.0032534257780656817,5.112202852614891,0.0
