Variable_Name,Information_Value,Random_Forest,Recursive_Feature_Elimination,Extra_Trees,Chi_Square,L_One
dport_class,1.8822013482117868,0.015232513640262556,-3.398150391290718e-09,0.021458783595224077,0.6798060614432981,0.05166797823669582
dport,1.7740268939035992,0.02637107939901222,-5.273637375273532e-06,0.01727366115369199,62.055340559192544,-1.1851334404564727e-05
IP_id,1.574689186137148,0.05815894104181998,-1.0997993956924601e-05,0.030877440067787622,165.81017503819248,-2.122915311597327e-06
IP_proto,1.5410430928117822,0.008228764790882501,-5.4728534776302404e-09,0.037043992049063494,184.01544153487197,0.129994686283836
TCP_options,1.4125847657148585,0.00647790097142274,-2.386018172503709e-10,0.029748770130288472,403.99495268138804,0.0
UDP_chksum,1.2855624337224758,0.03695447989201313,-6.847047198958953e-06,0.03351245720227855,421.1050208497074,-7.010791676834985e-07
UDP_len,1.27038951981227,0.0763808908769227,-6.300362685452812e-08,0.06227181709402429,183.4052339660719,-0.0016886832908485742
UDP_sport,1.27038951981227,0.02622292342142804,-1.1479032280493882e-05,0.01854779660294767,10.730845246257152,-3.995189725504101e-06
UDP_dport,1.27038951981227,0.08057278308049086,-4.7177525582643956e-07,0.014147524572341818,88.05890575819326,1.6297228719702015e-05
TCP_ACK,1.1109474792320653,0.0008374657236344095,-1.4330729498471964e-10,0.023669193761784682,349.77589519650655,0.0
Protocol,0.8950630796552252,0.07429336572026263,-2.3049882107347796e-09,0.059554545188787306,18.408709935097324,0.023605847731116035
TCP_dport,0.8658267865776477,0.01794205044627114,-4.801862119447086e-06,0.01226264314550292,144.59985021342416,-1.9402878664931563e-05
sport_class,0.8229703164092005,0.028895216681787163,-6.09532566021473e-09,0.046778081094053625,6.988187247496926,-0.2798325407923247
IP_ttl,0.6451945348273114,0.015928740670995065,-4.6428546617785034e-08,0.03340801373992231,110.49592320012775,-0.00021880477084072842
TCP_chksum,0.5854606066885393,0.018560907327640246,-8.125847675378462e-06,0.019038205879324976,204.0343315930136,-1.6204727003110693e-06
TCP_ack,0.4569983075830583,0.017284839900434064,-3.856503591128764e-10,0.016848420625686044,174.55162939565366,1.1690393745044493e-11
DNS_qr,0.4450823131813446,0.005782858796076996,0.0,0.009079000008786496,475.6645161290322,0.0
TCP_window,0.4345074554588273,0.023301188441640672,-3.804275184284095e-06,0.021576324803315075,70.98670094547381,-1.7727069541396704e-05
DNS_aa,0.4337547443617085,0.003949165000069467,0.0,0.01190479622314939,460.8285714285714,0.0
TCP_seq,0.4124265975857934,0.021880757249489388,-3.98710450598359e-10,0.02008673608118072,177.79611487056368,2.399325252008061e-11
entropy,0.4012168731495075,0.08168510169603675,-1.1894844626668238e-09,0.06320422453590427,135.7368255976669,0.09384259397608159
IP_len,0.37882386313697214,0.06024853639807171,-1.2735942748062977e-07,0.060998179673299166,2.241475688336537,-0.00026287875535846835
pck_size,0.3592101839001899,0.06898580344206148,-1.3589101572242774e-07,0.06296429460273158,2.5142945549698426,5.428080180011378e-05
TCP_sport,0.32968761902177135,0.022525799325224184,-3.6717094007128754e-06,0.0156883721199254,110.79130210071818,1.560245382471413e-05
DNS_qdcount,0.31229975918648556,0.006772003363798381,-2.055366359904832e-10,0.014607067906281235,51.360281690140866,0.0
DNS_nscount,0.2904275388806551,0.009429378375513673,-3.6459154906992557e-10,0.015832478563289683,11.917431693989064,-0.08677728063535906
TCP_flags,0.28962016881716646,0.014816643823749068,-1.3250812376729315e-09,0.01492661500843568,169.97702639751546,-0.02983994617349777
DNS_ancount,0.2722977386902529,0.01959541299502208,-2.3967165708896263e-10,0.024706874788228018,93.71327449567725,-0.03374404735397794
sport,0.2686039980921014,0.03604513244030616,-1.5150741681206813e-05,0.03131273952504172,58.72003589864585,9.03167359020578e-06
TCP_PSH,0.2180121729698864,0.0010608249099360292,0.0,0.0016793345193081225,102.48099173553719,-0.17704487865153817
TCP_SYN,0.1644025508514816,0.0005944555037430751,0.0,0.0022053279578158713,67.8624746450304,0.0
TCP_dataofs,0.14579464521366872,0.013113243475686806,-1.5434763833367938e-09,0.023768249857390823,237.16668487602112,0.06310036921621118
IP_flags,0.13424514491348868,0.0067480711353563455,-1.4451805416287954e-09,0.013336777892764327,2.049090909090909,0.0
IP_DF,0.1341976772187995,0.0044536070453368,-3.458528925891551e-10,0.02189028948982506,5.176956521739131,0.37506233364527736
payload_bytes,0.131028582557421,0.06342431359484535,-1.1483871529962807e-07,0.05779969814463181,1.3925769395778484,-0.00027199539914624473
TCP_FIN,0.1129193734686954,0.0013059609287371433,0.0,0.002267817370175732,48.964800000000004,0.0
IP_ihl,0.0904438651178929,0.005466799922085666,-2.537335345305391e-09,0.0044171086642077395,0.6178188811584374,-0.054356747317592914
IP_options,0.05722384337977072,0.0037174922429875175,0.0,0.004462545443637972,65.42285714285717,0.0
IP_tos,0.05361317864214565,0.0032304656812754866,-2.958417589706882e-09,0.0033546360905229865,58.7798634812287,-0.0024567592318111525
IP_version,0.035069791241172224,0.0008718627114277958,-2.017085782075929e-09,0.0005741106173627473,0.3759590792838875,0.0
DNS_rd,0.030724752750835322,0.0007523191684329789,-1.3508769573947048e-10,0.005238133685639293,16.939622641509423,0.0
DNS_id,0.029988509998790876,0.0013781390719772634,-1.1150045306641304e-06,0.002088939941144962,4.80909584656219,-0.018261855391914134
Ether_type,0.005448110472212293,0.0011513109986049583,-4.007606833319701e-06,0.0005854978037114538,3.519524576638998,-3.0128577651458283e-05
BOOTP_flags,0.005274203481327757,0.0012544604461446143,-5.963371325486828e-10,0.001691882582274948,0.43719008264462894,0.0
EAPOL_len,0.005261697821932934,0.00021554212396084348,-3.93424828695489e-09,0.000327184194508071,2.783336555393795,0.0008570274065601981
EAPOL_type,0.005038904401197111,0.00014532805020608236,-1.1112054420251101e-10,0.0001740754769535547,3.1508196721311466,0.0
