Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
D-LinkSensor,0,1,DT,0.926666666666667,0.888778550148957,0.867446393762183,0.888778550148957,0.877551020408163,0.755174716225239,0.063079595565796,0.0,0.063079595565796,0
D-LinkSensor,0,2,DT,0.941666666666667,0.917541398968419,0.866217583682216,0.917541398968419,0.889141692753562,0.778546420888345,0.063205003738403,0.0,0.063205003738403,0
D-LinkSensor,0,3,DT,0.935,0.883797933230451,0.886782423812899,0.883797933230451,0.885280058830739,0.770561242499118,0.078411102294922,0.0,0.078411102294922,0
D-LinkSensor,0,4,DT,0.941666666666667,0.920492348636061,0.881586651053864,0.920492348636061,0.89936697032284,0.798896805332107,0.051389694213867,0.0,0.051389694213867,0
D-LinkSensor,0,5,DT,0.936666666666667,0.86897976631519,0.921091145621595,0.86897976631519,0.89194517639476,0.784221683827983,0.078470706939697,0.0,0.078470706939697,0
D-LinkSensor,0,6,DT,0.941666666666667,0.910079377295015,0.873,0.910079377295015,0.890097812946478,0.780334728033473,0.077965259552002,0.0,0.077965259552002,0
D-LinkSensor,0,7,DT,0.936666666666667,0.883175175749626,0.883175175749626,0.883175175749626,0.883175175749626,0.766350351499252,0.078709125518799,0.0,0.078709125518799,0
D-LinkSensor,0,8,DT,0.928333333333333,0.907258064516129,0.86246312048172,0.907258064516129,0.882393162393162,0.765095782649865,0.063219547271729,0.0,0.063219547271729,0
D-LinkSensor,0,9,DT,0.94,0.898447028213676,0.885896527285613,0.898447028213676,0.892,0.784017278617711,0.063430547714233,0.0,0.063430547714233,0
D-LinkSensor,0,10,DT,0.941666666666667,0.879104653909757,0.908411274416237,0.879104653909757,0.892843474933027,0.785775492716367,0.066430568695068,0.0,0.066430568695068,0
