Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
WeMoSwitch,0,1,DT,0.973333333333333,0.949099700960743,0.949099700960743,0.949099700960743,0.949099700960743,0.898199401921486,0.04741096496582,0.0,0.04741096496582,0
WeMoSwitch,0,2,DT,0.965,0.95578324314821,0.926888173302108,0.95578324314821,0.940502892220517,0.881051280114795,0.057187557220459,0.0,0.057187557220459,0
WeMoSwitch,0,3,DT,0.965,0.945023449713392,0.927,0.945023449713392,0.935706084959816,0.871428571428571,0.063048124313354,0.0,0.063048124313354,0
WeMoSwitch,0,4,DT,0.963333333333333,0.939203006687669,0.939203006687669,0.939203006687669,0.939203006687669,0.878406013375339,0.063215255737305,0.0,0.063215255737305,0
WeMoSwitch,0,5,DT,0.973333333333333,0.953116758805259,0.953116758805259,0.953116758805259,0.953116758805259,0.906233517610518,0.06512975692749,0.0,0.06512975692749,0
WeMoSwitch,0,6,DT,0.968333333333333,0.936214080614866,0.940196078431372,0.936214080614866,0.938190946600231,0.876382563435264,0.051990747451782,0.0,0.051990747451782,0
WeMoSwitch,0,7,DT,0.973333333333333,0.946757314185318,0.960548074651547,0.946757314185318,0.953473945409429,0.906955105838567,0.062513828277588,0.0,0.062513828277588,0
WeMoSwitch,0,8,DT,0.956666666666667,0.926667227314776,0.912513212456297,0.926667227314776,0.919394841269841,0.838803009010498,0.053754806518555,0.0,0.053754806518555,0
WeMoSwitch,0,9,DT,0.963333333333333,0.949006988993872,0.921500721500722,0.949006988993872,0.934522510367269,0.869086581374591,0.046998977661133,0.0,0.046998977661133,0
WeMoSwitch,0,10,DT,0.978333333333333,0.968521923755,0.958534322820037,0.968521923755,0.963433671962534,0.926870429401838,0.047019958496094,0.0,0.047019958496094,0
