Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
TP-LinkPlugHS100,0,1,DT,0.977777777777778,0.975344644750795,0.961162551440329,0.975344644750795,0.96801984075186,0.936048029235187,0.015617609024048,0.0,0.015617609024048,0
TP-LinkPlugHS100,0,2,DT,0.965079365079365,0.947526737967914,0.927522349936143,0.947526737967914,0.937142857142857,0.874306235716618,0.027735710144043,0.0,0.027735710144043,0
TP-LinkPlugHS100,0,3,DT,0.984126984126984,0.96622641509434,0.973952738990333,0.96622641509434,0.970039376819038,0.940079893475366,0.029336929321289,0.0,0.029336929321289,0
TP-LinkPlugHS100,0,4,DT,0.977777777777778,0.960622419815814,0.952715355805244,0.960622419815814,0.956615838662076,0.913233384488254,0.015620470046997,0.01562762260437,0.031248092651367,0
TP-LinkPlugHS100,0,5,DT,0.968152866242038,0.950769898069833,0.937732537732538,0.950769898069833,0.944088319088319,0.888184602236308,0.023361682891846,0.0,0.023361682891846,0
TP-LinkPlugHS100,0,6,DT,0.977707006369427,0.964529914529914,0.957844857844858,0.964529914529914,0.96114617029927,0.922293714204907,0.031254529953003,0.0,0.031254529953003,0
TP-LinkPlugHS100,0,7,DT,0.977707006369427,0.951828830982548,0.959928617780662,0.951828830982548,0.955823535323083,0.911648846370287,0.011546850204468,0.0,0.011546850204468,0
TP-LinkPlugHS100,0,8,DT,0.990445859872612,0.98493265993266,0.975919041718298,0.98493265993266,0.98036313606137,0.960727090802968,0.015626668930054,0.0,0.015626668930054,0
TP-LinkPlugHS100,0,9,DT,0.990445859872612,0.986022333461686,0.97810606060606,0.986022333461686,0.982012946096122,0.964026579088062,0.031970500946045,0.0,0.031970500946045,0
TP-LinkPlugHS100,0,10,DT,0.980891719745223,0.969094488188976,0.969094488188976,0.969094488188976,0.969094488188976,0.938188976377953,0.015637874603271,0.0,0.015637874603271,0
