Variable_Name,Information_Value,Random_Forest,Recursive_Feature_Elimination,Extra_Trees,Chi_Square,L_One
dport,6.130191252127496,0.11087656708559891,4.5641232581898855e-05,0.12590606455416936,1611.3474316770266,1.0123353260601472e-05
sport,5.4783223138721,0.10517152924267754,-8.527544808281108e-05,0.044980337475393074,403.493461353945,-1.9348650942125945e-05
sport_class,5.06618876774071,0.1275890686523665,-2.9433831395145803e-08,0.14078446809281578,243.60733451445577,-0.008156060104469811
dport_class,4.153691080236026,0.047677306523727606,-7.935407451150391e-09,0.062265758993249966,236.9885934582665,0.013577247932500747
TCP_dport,3.2824716789994213,0.1351902654619074,5.247249736259811e-05,0.1906662288039446,1962.5619831896258,-4.615217359846269e-06
TCP_dataofs,3.2471493602983186,0.018363696584319848,0.0,0.03439879229095045,259.66764978343,0.02871769195653886
TCP_window,1.8975891952791457,0.03791701552212816,-4.467679948782807e-06,0.0233592249528494,14.763475718709646,1.198617454872533e-05
TCP_ACK,1.6554106832078583,0.01822416989798807,0.0,0.01867796126620599,247.25595301655116,0.0
TCP_flags,1.5981247925622835,0.015453909682072995,-3.0425299469344805e-09,0.012317739768130508,78.92518330817339,0.0
TCP_options,1.2818696932268485,0.005593673719625932,-3.270883604181487e-10,0.012709063951888321,158.55488281250007,0.0
IP_proto,1.1812978818812778,0.005569293101932885,-2.8101366739603063e-08,0.0017672874815641887,53.00816475035111,-0.04099923228759008
TCP_seq,1.067782780196159,0.042850336128397545,-5.64387767995505e-10,0.035533319088009024,66.04665974627216,-2.590484467776797e-11
UDP_len,1.0198374882629768,0.0025920583018165743,-2.971928929274887e-07,0.003156433995179947,86.33557570432018,0.0
UDP_sport,1.0198374882629768,0.004200593779131136,-2.9445598326059535e-05,0.003928098423994543,89.63374003034252,1.3350951209275398e-05
UDP_dport,1.0198374882629768,0.005108444116176517,-6.83126478069922e-06,0.00021784776719672912,20.52323398833198,-1.1369280001761873e-05
UDP_chksum,1.004757137590779,0.0019121402884222866,-5.089860688444496e-05,0.0028956797859362947,148.21634286551324,-2.858527334921049e-06
TCP_chksum,1.0037675383985458,0.038989346758829674,-9.678201226842675e-06,0.030999275355871197,87.6468055419672,1.5734577047361798e-06
IP_ttl,0.9097532383324617,0.0025768771420848807,-2.7181756116357493e-07,0.004413223755921074,31.396237570102862,-0.000564700812026525
