Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
IKettle2,0,1,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
IKettle2,0,2,DT,0.985915492957746,0.991803278688525,0.954545454545455,0.991803278688525,0.972058244785518,0.944138473642801,0.0,0.0,0.0,0
IKettle2,0,3,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.015729427337646,0.015729427337646,0
IKettle2,0,4,DT,0.985714285714286,0.991525423728814,0.958333333333333,0.991525423728814,0.973987365291713,0.947994056463596,0.0,0.0,0.0,0
IKettle2,0,5,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
IKettle2,0,6,DT,0.971428571428571,0.982456140350877,0.933333333333333,0.982456140350877,0.955357142857143,0.910828025477707,0.012606859207153,0.0,0.012606859207153,0
IKettle2,0,7,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
IKettle2,0,8,DT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
IKettle2,0,9,DT,0.971428571428571,0.9,0.983870967741936,0.9,0.936247723132969,0.872727272727273,0.0,0.0,0.0,0
IKettle2,0,10,DT,0.957142857142857,0.950231481481481,0.931742508324084,0.950231481481481,0.94052676295667,0.881087202718007,0.0,0.0,0.0,0
