Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
EdnetGateway,0,1,DT,0.990853658536585,0.986211688976666,0.978201438848921,0.986211688976666,0.982155486643817,0.96431162048455,0.015620231628418,0.0,0.015620231628418,0
EdnetGateway,0,2,DT,0.990853658536585,0.986761426978818,0.979313893653516,0.986761426978818,0.982991962665284,0.965984513274336,0.015743017196655,0.0,0.015743017196655,0
EdnetGateway,0,3,DT,0.978658536585366,0.973231048099955,0.954601990049751,0.973231048099955,0.963591963591964,0.927194317605276,0.015619993209839,0.0,0.015619993209839,0
EdnetGateway,0,4,DT,0.98780487804878,0.96969696969697,0.992481203007519,0.96969696969697,0.980587121212121,0.961183431952663,0.015616655349731,0.0,0.015616655349731,0
EdnetGateway,0,5,DT,0.99390243902439,0.988391024279748,0.988391024279748,0.988391024279748,0.988391024279748,0.976782048559496,0.015738487243652,0.0,0.015738487243652,0
EdnetGateway,0,6,DT,0.984756097560976,0.96953781512605,0.976323676323676,0.96953781512605,0.972890321514175,0.945781539275324,0.015629291534424,0.0,0.015629291534424,0
EdnetGateway,0,7,DT,0.981651376146789,0.976323797930615,0.964947718631179,0.976323797930615,0.970508658008658,0.941020862141526,0.022536993026733,0.0,0.022536993026733,0
EdnetGateway,0,8,DT,0.990825688073394,0.971698113207547,0.994584837545126,0.971698113207547,0.982714570154882,0.96543462175399,0.0,0.0,0.0,0
EdnetGateway,0,9,DT,0.996941896024465,0.990566037735849,0.998181818181818,0.990566037735849,0.994327348425709,0.988654893661312,0.015568256378174,0.0,0.015568256378174,0
EdnetGateway,0,10,DT,0.996941896024465,0.998214285714286,0.989583333333333,0.998214285714286,0.993842387722437,0.987685007343803,0.016225814819336,0.0,0.016225814819336,0
