,precision,recall,f1-score,support
Aria,0.7883356058534858,0.6277777777777778,0.6849183041396161,90.0
D-LinkCam,0.5255264282760977,0.7943396226415095,0.623841423624053,954.0
D-LinkDayCam,0.627062323983953,0.5802816901408451,0.5959324122038993,213.0
D-LinkDoorSensor,0.6897237501837096,0.5178970917225951,0.5751420565019647,447.0
D-LinkHomeHub,0.4646859199327415,0.5971839424805273,0.5134320037515117,1669.0
D-LinkSensor,0.26465504173381704,0.1091867469879518,0.13964382652359114,1328.0
D-LinkSiren,0.29783138126265596,0.09151467089611419,0.11429658556732822,1261.0
D-LinkSwitch,0.4912392824638624,0.5073880597014926,0.48816862442633946,1340.0
D-LinkWaterSensor,0.296405707330228,0.29306772908366535,0.25477144041820593,1255.0
EdimaxCam,0.7453419904582234,0.3638036809815951,0.4572469359980255,163.0
EdimaxPlug1101W,0.335801374633894,0.3522522522522522,0.33096351637004134,222.0
EdimaxPlug2101W,0.4051630481791812,0.212992125984252,0.2624705559378718,254.0
EdnetCam,0.5427585355580352,0.3609756097560976,0.4279492860154308,82.0
EdnetGateway,0.912215593760408,0.819718309859155,0.8452384207729671,142.0
HomeMaticPlug,0.9565930574166677,0.937956204379562,0.9304125428027442,137.0
HueBridge,0.6006706178750745,0.6864746627779803,0.6368728483471252,2743.0
HueSwitch,0.7882210131458973,0.9298394711992446,0.852006232663015,3177.0
Lightify,0.9502259617023959,0.9214953271028039,0.9329228346373325,856.0
MAXGateway,0.9514285714285714,0.8173913043478261,0.8553541593183785,115.0
SmarterCoffee,0.13666666666666666,0.19310344827586207,0.15238296858874273,29.0
TP-LinkPlugHS100,0.5263764964734088,0.44642857142857145,0.43375405653111027,140.0
TP-LinkPlugHS110,0.7090796810800061,0.2028169014084507,0.26038362171904444,142.0
WeMoInsightSwitch,0.5364294505737288,0.46446700507614214,0.4855585788217227,788.0
WeMoLink,0.5397781048367472,0.6097789115646258,0.5673837359770897,1176.0
WeMoSwitch,0.535458095130443,0.43298279158699804,0.4682670365536571,1046.0
Withings,0.9753086419753085,0.9134328358208956,0.9418555093555094,134.0
iKettle2,0.06666666666666667,0.05517241379310345,0.06037735849056604,29.0
accuracy,0.5728025285972307,0.5728025285972307,0.5728025285972307,0.5728025285972307
macro avg,0.5799870003178472,0.5125821910751073,0.514501736150255,19932.0
weighted avg,0.5596139500019098,0.5728025285972307,0.5427907216553657,19932.0
