Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
34__38,0,1,DT,0.704277216504579,0.701310427269921,0.761217060964493,0.701310427269921,0.721262048277025,0.675161798849425,0.20732855796814,0.002062320709229,0
34__38,1,2,DT,0.704182796714191,0.701542692986355,0.761540344430584,0.701542692986355,0.721601786417563,0.675059461588571,0.197278499603272,0.012091398239136,0
34__38,2,3,DT,0.704560475875744,0.701695390120702,0.761678673817937,0.701695390120702,0.721750238158619,0.675472103574526,0.213459014892578,0.008073568344116,0
34__38,3,4,DT,0.704182796714191,0.701481341541144,0.761503300089382,0.701481341541144,0.721547624873354,0.675058326379305,0.210282325744629,0.002048015594482,0
34__38,4,5,DT,0.704371636294968,0.701639298086738,0.761602715647264,0.701639298086738,0.72169621782549,0.675266756563067,0.200523853302002,0.0,0
34__38,5,6,DT,0.704182796714191,0.701244774407674,0.761157145743873,0.701244774407674,0.721194898886293,0.675057409932681,0.213610410690308,0.0,0
34__38,6,7,DT,0.704560475875744,0.701728413784733,0.761727294224712,0.701728413784733,0.721784857636247,0.675472214806446,0.293039321899414,0.006980895996094,0
34__38,7,8,DT,0.704182796714191,0.701274544346672,0.761127112274159,0.701274544346672,0.721226787705496,0.675062614198914,0.203984498977661,0.0,0
34__38,8,9,DT,0.704230006609385,0.701578732288713,0.761480651432822,0.701578732288713,0.721609057429081,0.675114473016893,0.20872950553894,0.015627384185791,0
34__38,9,10,DT,0.704324426399774,0.70131538339586,0.761262024607691,0.70131538339586,0.721283480435638,0.675213188458923,0.200311660766602,0.002062797546387,0
