Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
80__34,0,1,DT,0.70451326598055,0.701422535458002,0.76123223670995,0.701422535458002,0.721351982878578,0.675420840674424,0.207481145858765,0.006987333297729,0
80__34,1,2,DT,0.704371636294968,0.701347630814209,0.761145772866358,0.701347630814209,0.721280095687639,0.675267057872189,0.209479570388794,0.008934020996094,0
80__34,2,3,DT,0.704560475875744,0.701416802325345,0.761215905346165,0.701416802325345,0.721336192901786,0.675472213217419,0.197471141815186,0.006981611251831,0
80__34,3,4,DT,0.704607685770938,0.701537552556024,0.761342961347726,0.701537552556024,0.721465222929805,0.675524560626318,0.194479703903198,0.006981372833252,0
80__34,4,5,DT,0.704466056085356,0.701206014610726,0.760972834459379,0.701206014610726,0.721034436409227,0.675369144021651,0.200463771820068,0.007978439331055,0
80__34,5,6,DT,0.704182796714191,0.700976660275928,0.760669153433616,0.700976660275928,0.720801044087808,0.675059635807091,0.196474075317383,0.006981134414673,0
80__34,6,7,DT,0.704560475875744,0.701461691508432,0.761241795548307,0.701461691508432,0.721377973044369,0.675474718298989,0.198504447937012,0.006986856460571,0
80__34,7,8,DT,0.704466056085356,0.701422122290475,0.761244998345725,0.701422122290475,0.721369012038584,0.675371242185581,0.197471618652344,0.007978439331055,0
80__34,8,9,DT,0.70451326598055,0.701155832014022,0.760901840691506,0.701155832014022,0.720979883811765,0.67541955017713,0.228348016738892,0.007977724075317,0
80__34,9,10,DT,0.704230006609385,0.701014083587311,0.760721311978794,0.701014083587311,0.720834599640296,0.675109680803508,0.194479465484619,0.006981372833252,0
