Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
87__31,0,1,DT,0.704607685770938,0.701523929356522,0.7614488469003,0.701523929356522,0.72146641383418,0.675524592401679,0.183544158935547,0.006981134414673,0
87__31,1,2,DT,0.704560475875744,0.701724357828488,0.761736789139365,0.701724357828488,0.721752939218242,0.675470431113966,0.183329105377197,0.010084390640259,0
87__31,2,3,DT,0.704324426399774,0.701575838450024,0.761189400390892,0.701575838450024,0.721516299712418,0.675211760368726,0.193982362747192,0.008629560470581,0
87__31,3,4,DT,0.704560475875744,0.701704614207818,0.761773612661404,0.701704614207818,0.721750022910579,0.675467956953048,0.178662300109863,0.015624523162842,0
87__31,4,5,DT,0.704560475875744,0.701699432635209,0.761379159460619,0.701699432635209,0.721649846822316,0.675471399633607,0.174782037734985,0.015592813491821,0
87__31,5,6,DT,0.704466056085356,0.70160674668456,0.761611123646361,0.70160674668456,0.721654199773007,0.67536618508756,0.201255798339844,0.008020877838135,0
87__31,6,7,DT,0.704135586818997,0.701513113131654,0.761498535385272,0.701513113131654,0.72156252956823,0.675005929810957,0.181472301483154,0.01012659072876,0
87__31,7,8,DT,0.704371636294968,0.701608043462329,0.761279683945628,0.701608043462329,0.721575557794866,0.675266562580117,0.200515747070312,0.0,0
87__31,8,9,DT,0.704560475875744,0.70170432688465,0.761763136020668,0.70170432688465,0.721747590078062,0.675470100592404,0.182100534439087,0.010125637054443,0
87__31,9,10,DT,0.704654895666132,0.70180156014296,0.761443336233616,0.70180156014296,0.721751706745558,0.675577843506711,0.195865631103516,0.008021116256714,0
