Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
0__39,0,1,DT,0.703993957133415,0.701438299698043,0.761414980225384,0.701438299698043,0.721504228320596,0.674853581319594,0.207442760467529,0.006981134414673,0
0__39,1,2,DT,0.704230006609385,0.701308026911177,0.761190706019909,0.701308026911177,0.721253760279842,0.67511385341751,0.203454971313477,0.006980895996094,0
0__39,2,3,DT,0.704560475875744,0.701732054126316,0.761691741038943,0.701732054126316,0.721765625227779,0.675474210611938,0.203455209732056,0.006980895996094,0
0__39,3,4,DT,0.704182796714191,0.70147403515475,0.761378324305692,0.70147403515475,0.721486745261156,0.675059490227245,0.206447124481201,0.007978916168213,0
0__39,4,5,DT,0.704041167028609,0.701469495650772,0.761359261280258,0.701469495650772,0.721496776367984,0.674906863443188,0.203455924987793,0.006982088088989,0
0__39,5,6,DT,0.703946747238221,0.70134875367093,0.761229467040002,0.70134875367093,0.72136889850422,0.674801046314913,0.213426828384399,0.00698184967041,0
0__39,6,7,DT,0.704230006609385,0.701591763647254,0.761519646615286,0.701591763647254,0.721623673148887,0.675114107143346,0.212431907653809,0.00698184967041,0
0__39,7,8,DT,0.704466056085356,0.701729429960157,0.761677170969418,0.701729429960157,0.721757582343256,0.675371427363141,0.201462507247925,0.006981134414673,0
0__39,8,9,DT,0.704088376923803,0.701488519539325,0.761464250680661,0.701488519539325,0.721530850466902,0.67495612332368,0.205450534820557,0.006981611251831,0
0__39,9,10,DT,0.704041167028609,0.701515049682928,0.761424992907466,0.701515049682928,0.721551382194201,0.674907165083357,0.201461315155029,0.006980895996094,0
