Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
5__37,0,1,DT,0.704041167028609,0.701180947566762,0.760953528737207,0.701180947566762,0.721102816598282,0.67490569507968,0.210436820983887,0.006981611251831,0
5__37,1,2,DT,0.704135586818997,0.701203927528157,0.760986812815308,0.701203927528157,0.721119816577916,0.675008779818362,0.200463056564331,0.006982088088989,0
5__37,2,3,DT,0.704182796714191,0.701220869226592,0.760988830126906,0.701220869226592,0.721124583503228,0.675059522047987,0.204453229904175,0.006983041763306,0
5__37,3,4,DT,0.704230006609385,0.70126734451129,0.761059928976263,0.70126734451129,0.721173253520319,0.675110650393027,0.202458143234253,0.006981134414673,0
5__37,4,5,DT,0.704041167028609,0.701181589746973,0.760983600231761,0.701181589746973,0.721097294945067,0.674904783782149,0.200465679168701,0.006980657577515,0
5__37,5,6,DT,0.704135586818997,0.701228760284882,0.76104851538309,0.701228760284882,0.721150616789296,0.675008127392268,0.200496912002563,0.006989002227783,0
5__37,6,7,DT,0.704324426399774,0.701286223703692,0.761183371981898,0.701286223703692,0.721210969407912,0.675211287251443,0.205450296401978,0.006981611251831,0
5__37,7,8,DT,0.704088376923803,0.701188394589753,0.760969797296862,0.701188394589753,0.72109890512079,0.674957416446167,0.199464559555054,0.007978439331055,0
5__37,8,9,DT,0.704230006609385,0.701005044169334,0.760718804264452,0.701005044169334,0.720815079163886,0.675112871916347,0.206482410430908,0.006990194320679,0
5__37,9,10,DT,0.703852327447833,0.701108326764119,0.760873761940563,0.701108326764119,0.721026220208119,0.674697800213559,0.202459812164307,0.006981372833252,0
