Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
12__39,0,1,DT,0.704277216504579,0.701547194988514,0.761514189928884,0.701547194988514,0.721584458515031,0.675163321787424,0.201457023620605,0.006983995437622,0
12__39,1,2,DT,0.704182796714191,0.70158850553225,0.761528233900956,0.70158850553225,0.721618439573401,0.675060245968196,0.205450296401978,0.006982088088989,0
12__39,2,3,DT,0.704135586818997,0.701258590949534,0.76114742898265,0.701258590949534,0.721194968017535,0.675010900980708,0.202417135238647,0.006981134414673,0
12__39,3,4,DT,0.704466056085356,0.701658587676039,0.761647839123016,0.701658587676039,0.721690351713491,0.675370336958333,0.204447984695435,0.006986379623413,0
12__39,4,5,DT,0.703899537343027,0.701323217507962,0.761267761756729,0.701323217507962,0.721354017131782,0.67474943556928,0.199426174163818,0.006981134414673,0
12__39,5,6,DT,0.704088376923803,0.70142122347027,0.76146464801333,0.70142122347027,0.721469321970468,0.674954164919818,0.205461978912354,0.006975889205933,0
12__39,6,7,DT,0.703946747238221,0.701365846699091,0.761311640357257,0.701365846699091,0.721413344724958,0.674802134647356,0.203456878662109,0.006981372833252,0
12__39,7,8,DT,0.704088376923803,0.701437958811598,0.761400551329434,0.701437958811598,0.721477628243646,0.674956079556277,0.204452991485596,0.006981611251831,0
12__39,8,9,DT,0.704277216504579,0.701546806444227,0.761510121799398,0.701546806444227,0.721581068634934,0.67516369635641,0.203455448150635,0.006980895996094,0
12__39,9,10,DT,0.703993957133415,0.701408004172035,0.761335537757938,0.701408004172035,0.721427955396131,0.674853505697769,0.213465690612793,0.007941722869873,0
