Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
36__33,0,1,DT,0.704560475875744,0.701687532727459,0.761607038473868,0.701687532727459,0.721716081372466,0.675472425352372,0.218415021896362,0.007979154586792,0
36__33,1,2,DT,0.704371636294968,0.701673329411175,0.761596410208751,0.701673329411175,0.721723423451886,0.675267676388899,0.285237789154053,0.007978200912476,0
36__33,2,3,DT,0.704466056085356,0.70167725605074,0.761599517087558,0.70167725605074,0.721699977930154,0.675370573796152,0.186063766479492,0.022100687026978,0
36__33,3,4,DT,0.704277216504579,0.701619221873818,0.761580464295972,0.701619221873818,0.721685125984432,0.675165540559266,0.184674739837646,0.015589952468872,0
36__33,4,5,DT,0.704182796714191,0.701274664400111,0.761110291473675,0.701274664400111,0.721220338199985,0.67506249725988,0.194799184799194,0.015625953674316,0
36__33,5,6,DT,0.704418846190162,0.701646316596766,0.76157529560867,0.701646316596766,0.721684996386625,0.675318352002984,0.201926946640015,0.015624761581421,0
36__33,6,7,DT,0.704277216504579,0.701602306281963,0.761557906434575,0.701602306281963,0.721653221384002,0.675163208859875,0.206072092056274,0.0,0
36__33,7,8,DT,0.704371636294968,0.701593132308001,0.761499528249429,0.701593132308001,0.721618249127827,0.67526584945228,0.238317012786865,0.015619516372681,0
36__33,8,9,DT,0.704324426399774,0.701359824263034,0.761205785449416,0.701359824263034,0.721305893233694,0.675216459660518,0.312482833862305,0.010010957717896,0
36__33,9,10,DT,0.70451326598055,0.701705874352517,0.761677405027807,0.701705874352517,0.721745337134708,0.675421463669446,0.26296854019165,0.015621423721313,0
