Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
95__35,0,1,DT,0.704182796714191,0.701258296861947,0.761143336253499,0.701258296861947,0.721192281464827,0.675060009700087,0.202819585800171,0.0,0
95__35,1,2,DT,0.704182796714191,0.701257203502994,0.761146487251919,0.701257203502994,0.721202400002523,0.675060518829592,0.211129188537598,0.0,0
95__35,2,3,DT,0.704182796714191,0.701486219398711,0.761358687122724,0.701486219398711,0.72151302295175,0.675060398706993,0.200524091720581,0.015624761581421,0
95__35,3,4,DT,0.704277216504579,0.70154201148817,0.761490793378048,0.70154201148817,0.721577585535528,0.675161724889148,0.208301782608032,0.006980895996094,0
95__35,4,5,DT,0.704371636294968,0.701733145612887,0.761648530025663,0.701733145612887,0.721791383810716,0.675269980303161,0.193982601165772,0.008586645126343,0
95__35,5,6,DT,0.70451326598055,0.701672806883273,0.761601470855547,0.701672806883273,0.721699390504275,0.675420994834129,0.200520515441895,0.0,0
95__35,6,7,DT,0.704277216504579,0.701530844881724,0.761495271594162,0.701530844881724,0.721571423471912,0.675161324866852,0.206213474273682,0.010123014450073,0
95__35,7,8,DT,0.704182796714191,0.701485041210514,0.761361356220099,0.701485041210514,0.721519680607767,0.675060249945771,0.202051877975464,0.0,0
95__35,8,9,DT,0.704466056085356,0.701692041333848,0.761608347110595,0.701692041333848,0.721729009661944,0.675370580948967,0.197695255279541,0.0,0
95__35,9,10,DT,0.704607685770938,0.701734653669235,0.761675147477707,0.701734653669235,0.721783102175856,0.675524579691535,0.207137107849121,0.002052545547485,0
