Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
56__31,0,1,DT,0.696723633273534,0.688410830200774,0.74117734488089,0.688410830200774,0.702689756568627,0.667085592762639,0.214460134506226,0.007944822311401,0
56__31,1,2,DT,0.696582003587952,0.688322182541057,0.740995552147144,0.688322182541057,0.702602216079361,0.666930090368593,0.196353912353516,0.0,0
56__31,2,3,DT,0.696582003587952,0.688431683038308,0.74139482499134,0.688431683038308,0.702764806982884,0.666930549147383,0.200518131256104,0.0,0
56__31,3,4,DT,0.696534793692758,0.688395821573788,0.741174621152005,0.688395821573788,0.702686123783324,0.666878512958717,0.222614288330078,0.0,0
56__31,4,5,DT,0.696770843168728,0.688385924505123,0.741210057773217,0.688385924505123,0.702704258438634,0.667137386982957,0.231730222702026,0.006508588790894,0
56__31,5,6,DT,0.696582003587952,0.688439022830396,0.741275249252094,0.688439022830396,0.702727152730056,0.666930945994091,0.208442687988281,0.007978677749634,0
56__31,6,7,DT,0.696487583797564,0.688436176490617,0.741304732062237,0.688436176490617,0.702678560591678,0.66682901339043,0.240318536758423,0.006981611251831,0
56__31,7,8,DT,0.696534793692758,0.688371890966596,0.741243176764788,0.688371890966596,0.702669812362296,0.666879627887442,0.185365438461304,0.01562237739563,0
56__31,8,9,DT,0.69667642337834,0.688504526317063,0.741400492540386,0.688504526317063,0.702789663279698,0.667033757819958,0.187193870544434,0.019692182540894,0
56__31,9,10,DT,0.697054102539892,0.68864217672313,0.741793376887338,0.68864217672313,0.702998061939406,0.667446374734992,0.197751998901367,0.015551805496216,0
