Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
47__36,0,1,DT,0.704607685770938,0.701470151956102,0.761466691656721,0.701470151956102,0.721440000745898,0.675523148205251,0.23341965675354,0.006981134414673,0
47__36,1,2,DT,0.704041167028609,0.701432469641829,0.761297966199964,0.701432469641829,0.721473475320218,0.674904893615659,0.206406831741333,0.00701379776001,0
47__36,2,3,DT,0.70451326598055,0.70172872288218,0.761678428205956,0.70172872288218,0.721776295342674,0.67542263734107,0.211392879486084,0.007978439331055,0
47__36,3,4,DT,0.70451326598055,0.701435429345836,0.761340006608134,0.701435429345836,0.721388827788991,0.675422295650139,0.200424194335938,0.007978916168213,0
47__36,4,5,DT,0.704560475875744,0.701744890085533,0.76174500171395,0.701744890085533,0.721789734485067,0.675472882196365,0.205451011657715,0.00798511505127,0
47__36,5,6,DT,0.704466056085356,0.701638253017158,0.76157885543551,0.701638253017158,0.721665544676217,0.675368741075701,0.211452484130859,0.006981134414673,0
47__36,6,7,DT,0.704230006609385,0.701589311028914,0.761456074771451,0.701589311028914,0.721609041678988,0.67511249251763,0.217418193817139,0.006980419158936,0
47__36,7,8,DT,0.704371636294968,0.701641119698192,0.761622465536676,0.701641119698192,0.721704802535978,0.675266952930817,0.223408222198486,0.008005380630493,0
47__36,8,9,DT,0.70451326598055,0.701760886352583,0.761711451478012,0.701760886352583,0.721811086705321,0.675422425174925,0.197471618652344,0.00698184967041,0
47__36,9,10,DT,0.704466056085356,0.701635714700271,0.761542060227478,0.701635714700271,0.721664488582949,0.675369081235267,0.203458309173584,0.006987333297729,0
