Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
51__36,0,1,DT,0.704277216504579,0.701632645034709,0.761580288395606,0.701632645034709,0.721685251309296,0.675164956047044,0.220579147338867,0.006981134414673,0
51__36,1,2,DT,0.704277216504579,0.701578453262674,0.761518431545576,0.701578453262674,0.721633712232339,0.675164209299798,0.214763164520264,0.015666246414185,0
51__36,2,3,DT,0.704371636294968,0.701637246330251,0.761572039934566,0.701637246330251,0.721668201515511,0.675267096032671,0.18619441986084,0.015621900558472,0
51__36,3,4,DT,0.704418846190162,0.701619256541944,0.761557367037876,0.701619256541944,0.721650288520709,0.675316620732173,0.212432861328125,0.006981611251831,0
51__36,4,5,DT,0.704277216504579,0.701577736696208,0.761509539609322,0.701577736696208,0.721610051868004,0.675162722157144,0.200294494628906,0.002063989639282,0
51__36,5,6,DT,0.704418846190162,0.701361666326801,0.761300471642371,0.701361666326801,0.721322002369257,0.675317197029603,0.213169574737549,0.007977724075317,0
51__36,6,7,DT,0.704466056085356,0.70139903437019,0.761307278341911,0.70139903437019,0.721353513714615,0.675370715262872,0.267521381378174,0.0,0
51__36,7,8,DT,0.704182796714191,0.701460570457118,0.761456458942584,0.701460570457118,0.721510483188198,0.675056714638998,0.204303979873657,0.0,0
51__36,8,9,DT,0.704371636294968,0.701592023426476,0.761550042541186,0.701592023426476,0.72163243760673,0.675264653743728,0.217644691467285,0.007022619247437,0
51__36,9,10,DT,0.704466056085356,0.701672542051827,0.761629907388226,0.701672542051827,0.721709197866333,0.675370670756501,0.216054677963257,0.0,0
