Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
39__38,0,1,DT,0.704230006609385,0.701533205432125,0.761471283425241,0.701533205432125,0.721568546863196,0.67511104331773,0.204454660415649,0.006981134414673,0
39__38,1,2,DT,0.704466056085356,0.701704166253102,0.76167633317189,0.701704166253102,0.721756332172927,0.675370391001893,0.209438323974609,0.007979393005371,0
39__38,2,3,DT,0.704371636294968,0.701630616541646,0.76157986414528,0.701630616541646,0.721686565363867,0.675265447968675,0.205450296401978,0.00698184967041,0
39__38,3,4,DT,0.704230006609385,0.701537335539114,0.761429841146476,0.701537335539114,0.72155475496699,0.675111247733648,0.203419923782349,0.006982803344727,0
39__38,4,5,DT,0.704702105561326,0.701822201852488,0.761838640654359,0.701822201852488,0.721871169944215,0.675627366529287,0.201462745666504,0.006980895996094,0
39__38,5,6,DT,0.704560475875744,0.701724962803261,0.761698791055971,0.701724962803261,0.721768442686464,0.675471915274602,0.21043872833252,0.007978677749634,0
39__38,6,7,DT,0.704277216504579,0.701303292141652,0.761172227354722,0.701303292141652,0.721246587356483,0.675163205678816,0.211435794830322,0.007978439331055,0
39__38,7,8,DT,0.704088376923803,0.701125431890588,0.761037465773541,0.701125431890588,0.721061786250472,0.674952712614027,0.20641303062439,0.006981611251831,0
39__38,8,9,DT,0.704277216504579,0.701330050837152,0.761189616926018,0.701330050837152,0.721259498939909,0.675162693527526,0.211467742919922,0.007978439331055,0
39__38,9,10,DT,0.704466056085356,0.701375656106445,0.761325390980705,0.701375656106445,0.721329592437027,0.675368172816891,0.202455997467041,0.006982088088989,0
