Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
99__34,0,1,DT,0.704371636294968,0.701637050113311,0.761568823842645,0.701637050113311,0.721677435158461,0.675266497389073,0.202710390090942,0.0,0
99__34,1,2,DT,0.704324426399774,0.701598860222108,0.761549968903158,0.701598860222108,0.72163909400811,0.675213704508472,0.208518028259277,0.005144596099854,0
99__34,2,3,DT,0.704418846190162,0.701389174697535,0.761347997027093,0.701389174697535,0.721348725597738,0.675317262210701,0.184863328933716,0.015626907348633,0
99__34,3,4,DT,0.70451326598055,0.701675553919381,0.761648356391668,0.701675553919381,0.721717868195766,0.675420703201987,0.198023557662964,0.008068799972534,0
99__34,4,5,DT,0.704135586818997,0.701496432750918,0.761378495178835,0.701496432750918,0.721517468186657,0.675008685137177,0.200413227081299,0.006547451019287,0
99__34,5,6,DT,0.704418846190162,0.701651790440569,0.761638340793252,0.701651790440569,0.721694973397661,0.675316382263672,0.202139139175415,0.0,0
99__34,6,7,DT,0.704607685770938,0.701754701004948,0.761710760895962,0.701754701004948,0.721802470754749,0.675525021368438,0.188665628433228,0.016674757003784,0
99__34,7,8,DT,0.70451326598055,0.701673517020895,0.761612675081081,0.701673517020895,0.721703827640281,0.675419606596869,0.200342655181885,0.031273126602173,0
99__34,8,9,DT,0.704466056085356,0.701684809728941,0.761655741653989,0.701684809728941,0.721719161160405,0.67536919250226,0.204223871231079,0.002055406570435,0
99__34,9,10,DT,0.704654895666132,0.701820799856876,0.76183450312102,0.701820799856876,0.721881144490278,0.675577261320301,0.200321674346924,0.0,0
