Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
40__36,0,1,DT,0.704560475875744,0.701755034548499,0.761806269350312,0.701755034548499,0.72182869648128,0.675470946758038,0.205451726913452,0.006981372833252,0
40__36,1,2,DT,0.704371636294968,0.701626797831656,0.761599554226412,0.701626797831656,0.721680915370922,0.675261874323338,0.20046591758728,0.011966705322266,0
40__36,2,3,DT,0.704371636294968,0.701592642542596,0.761575605374552,0.701592642542596,0.721647153634574,0.67526308754301,0.195478677749634,0.006980895996094,0
40__36,3,4,DT,0.704135586818997,0.701422827038818,0.761506125229788,0.701422827038818,0.721499107928484,0.675001681759066,0.197471857070923,0.006981134414673,0
40__36,4,5,DT,0.704466056085356,0.701687573156924,0.761746766267707,0.701687573156924,0.721762206696902,0.675368300774643,0.194478273391724,0.006981611251831,0
40__36,5,6,DT,0.704182796714191,0.701506566612929,0.761517414076969,0.701506566612929,0.721564428704441,0.675056953298492,0.195477247238159,0.006980895996094,0
40__36,6,7,DT,0.704135586818997,0.701463613969572,0.761544325010513,0.701463613969572,0.721549154725434,0.675003786305116,0.195476770401001,0.006981372833252,0
40__36,7,8,DT,0.703946747238221,0.70113313048354,0.761042946000075,0.70113313048354,0.721111244416744,0.674800887881126,0.21342658996582,0.006945371627808,0
40__36,8,9,DT,0.704654895666132,0.701760102035724,0.761810513094714,0.701760102035724,0.721831933163064,0.675573704616336,0.196474313735962,0.007979154586792,0
40__36,9,10,DT,0.703993957133415,0.701400769731449,0.761359223964954,0.701400769731449,0.721460646404787,0.674850362186804,0.195516109466553,0.007938861846924,0
