Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
25__38,0,1,DT,0.704277216504579,0.701290591673721,0.761160441859191,0.701290591673721,0.721235130977566,0.675164062971927,0.225430011749268,0.007990121841431,0
25__38,1,2,DT,0.704466056085356,0.70166685623074,0.761653444959324,0.70166685623074,0.721723438393548,0.675370285299032,0.244345426559448,0.006983995437622,0
25__38,2,3,DT,0.704324426399774,0.701608457500684,0.761513180728424,0.701608457500684,0.721645247970898,0.675215359990718,0.207486867904663,0.006980895996094,0
25__38,3,4,DT,0.704371636294968,0.701346717280322,0.761264573736468,0.701346717280322,0.721299467268238,0.675265730994844,0.225429534912109,0.006983518600464,0
25__38,4,5,DT,0.70451326598055,0.701352567647038,0.761369224261309,0.701352567647038,0.721312161932934,0.675417021599107,0.205435037612915,0.007978677749634,0
25__38,5,6,DT,0.704277216504579,0.701275155632464,0.76114941742986,0.701275155632464,0.721226084327072,0.675162059698305,0.212394237518311,0.006979942321777,0
25__38,6,7,DT,0.704418846190162,0.701678916492314,0.761620805116376,0.701678916492314,0.72171514082069,0.675319187425958,0.21143364906311,0.00698184967041,0
25__38,7,8,DT,0.704418846190162,0.701599542926919,0.761682883928483,0.701599542926919,0.721665039533519,0.675313507895788,0.218377351760864,0.00698184967041,0
25__38,8,9,DT,0.704277216504579,0.701563883541538,0.761588298408926,0.701563883541538,0.721619438110947,0.675161351110889,0.203455448150635,0.006981134414673,0
25__38,9,10,DT,0.704466056085356,0.701702610539004,0.76166601755853,0.701702610539004,0.721759953069823,0.675370137473862,0.200465202331543,0.006979942321777,0
